,price,gameName,gameNumber,topprize,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto
0,5.0,5 Times Lucky,728.0,55000.0,12/19/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/492108,https://content.lottery.ok.gov/games/face/728.jpg
1,10.0,Triple Cash Payout,730.0,100000.0,12/19/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/492109,https://content.lottery.ok.gov/games/face/730.jpg
2,2.0,Lucky You,708.0,15000.0,11/22/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380200,https://content.lottery.ok.gov/games/face/708.jpg
3,1.0,Cash In,717.0,4000.0,11/22/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380201,https://content.lottery.ok.gov/games/face/717.jpg
4,3.0,Gold Fish,725.0,25000.0,11/22/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380202,https://content.lottery.ok.gov/games/face/725.jpg
5,5.0,In The Green,726.0,60000.0,11/22/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380203,https://content.lottery.ok.gov/games/face/726.jpg
6,50.0,$3 Million Mania,721.0,3000000.0,10/27/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380195,https://content.lottery.ok.gov/games/face/721.jpg
7,5.0,Cashing Through The Snow,722.0,50000.0,10/27/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380196,https://content.lottery.ok.gov/games/face/722.jpg
8,1.0,Perfect 10s,723.0,5000.0,10/27/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380197,https://content.lottery.ok.gov/games/face/723.jpg
9,1.0,Gnome for the Holidays,720.0,3000.0,10/27/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380198,https://content.lottery.ok.gov/games/face/720.jpg
10,1.0,2 For $1,713.0,5000.0,09/29/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380192,https://content.lottery.ok.gov/games/face/713.jpg
11,2.0,Cornhole Cash™/ Skee-Ball®,718.0,15000.0,09/29/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380193,https://content.lottery.ok.gov/games/face/718.jpg
12,10.0,Bonus Match Doubler,719.0,150000.0,09/29/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380194,https://content.lottery.ok.gov/games/face/719.jpg
13,5.0,OSU,715.0,50000.0,08/25/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380188,https://content.lottery.ok.gov/games/face/715.jpg
14,5.0,OU,716.0,50000.0,08/25/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380189,https://content.lottery.ok.gov/games/face/716.jpg
15,1.0,Quick $50!,711.0,50.0,07/28/2023,12/29/2023,03/28/2024,https://www.lottery.ok.gov/scratchers/380184,https://content.lottery.ok.gov/games/face/711.jpg
16,3.0,Money Matrix,712.0,30000.0,07/28/2023,12/29/2023,03/28/2024,https://www.lottery.ok.gov/scratchers/380185,https://content.lottery.ok.gov/games/face/712.jpg
17,2.0,$200 Loaded,714.0,200.0,07/28/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380186,https://content.lottery.ok.gov/games/face/714.jpg
18,3.0,Crossword,701.0,30000.0,07/14/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380183,https://content.lottery.ok.gov/games/face/701.jpg
19,2.0,Double the Dough,704.0,14000.0,06/30/2023,01/01/2099,06/30/2099,https://www.lottery.ok.gov/scratchers/380176,https://content.lottery.ok.gov/games/face/704.jpg
