,gameNumber,gameURL,gamePhoto
0,1525,https:/www.oregonlottery.org/scratch-its/big-money-2/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1525_BigMoney_GameTile_1200x1200-300x300.jpg
1,1528,https:/www.oregonlottery.org/scratch-its/knotty-bingo/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1528_KnottyBingo_GameTile_1200x1200-300x300.jpg
2,1515,https:/www.oregonlottery.org/scratch-its/rose-gold-riches/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1515_RoseGoldRiches_GameTile_1200x1200-300x300.jpg
3,1510,https:/www.oregonlottery.org/scratch-its/marionberry-bingo/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1510_MarionberryBingo_GameTile_1200x1200-300x300.jpg
4,1517,https:/www.oregonlottery.org/scratch-its/bigfoot-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1517_BigfootCrossword_GameTile_1200x1200-300x300.jpg
5,1518,https:/www.oregonlottery.org/scratch-its/this-calls-for-confetti/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1518_ThisCallsForConfetti_GameTile_1200x1200-300x300.jpg
6,1511,https:/www.oregonlottery.org/scratch-its/deep-sea-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1511_DeepSeaCrossword_GameTile_1200x1200-300x300.jpg
7,1535,https:/www.oregonlottery.org/scratch-its/money-numbers/,https://www.oregonlottery.org/wp-content/uploads/2023/01/1535_MoneyNumbers_GameTile_1200x1200-300x300.jpg
8,1516,https:/www.oregonlottery.org/scratch-its/grand/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1516_Grand_GameTile_1200x1200-300x300.jpg
9,1521,https:/www.oregonlottery.org/scratch-its/magnificent-9s/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1521_Magnificent9s_GameTile_1200x1200-300x300.jpg
10,1529,https:/www.oregonlottery.org/scratch-its/pharaohs-tomb/,https://www.oregonlottery.org/wp-content/uploads/2023/02/1529_PharaohsTomb_GameTile_1200x1200-300x300.jpg
11,1524,https:/www.oregonlottery.org/scratch-its/5x-the-cash/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1524_5XTheCash_1200x1200-300x300.jpg
12,1513,https:/www.oregonlottery.org/scratch-its/50000-fortune/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1513_50000Fortune_GameTile_1200x1200-300x300.jpg
13,1500,https:/www.oregonlottery.org/scratch-its/casino-cash-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1500_CasinoCashCrossword_GameTile_1200x1200-300x300.jpg
14,1512,https:/www.oregonlottery.org/scratch-its/crown-jewels/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1512_TheCrownJewels_GameTile_1200x1200-300x300.jpg
15,1527,https:/www.oregonlottery.org/scratch-its/enchanted/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1527_Enchanted_GameTile_1200x1200-300x300.jpg
16,1507,https:/www.oregonlottery.org/scratch-its/fine-silver/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1507-_FineSilver_1200x1200-300x300.jpg
17,1520,https:/www.oregonlottery.org/scratch-its/retro-riches/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1520_RetroRiches_GameTiles_1200x1200-300x300.jpg
18,1493,https:/www.oregonlottery.org/scratch-its/lazy-dog-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1493_LazyDogCrossword_GameTile_1200x1200-300x300.jpg
19,1494,https:/www.oregonlottery.org/scratch-its/7s-on-fire/,https://www.oregonlottery.org/wp-content/uploads/2022/05/1494_7sOnFire_GameTile_1200x1200-300x300.jpg
20,1526,https:/www.oregonlottery.org/scratch-its/casino-action/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1526_CasinoAction_GameTile_1200x1200-300x300.jpg
21,1519,https:/www.oregonlottery.org/scratch-its/50-or-100-2/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1519_50or100_GameTile_1200x1200-300x300.jpg
22,1501,https:/www.oregonlottery.org/scratch-its/firewolf-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1501_FirewolfCrossword_GameTile_1200x1200-300x300.jpg
23,1497,https:/www.oregonlottery.org/scratch-its/cash-a-doodle-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1497_Cash-a-doodleCrossword_GameTile_1200x1200-300x300.jpg
24,1533,https:/www.oregonlottery.org/scratch-its/50-or-100-cash-overload/,https://www.oregonlottery.org/wp-content/uploads/2023/01/1533_50or100CashOverload_GameTile_1200x1200-300x300.jpg
25,1476,https:/www.oregonlottery.org/scratch-its/beach-party-bingo/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1476_BeachPartyBingo_GameTile_1200x1200-300x300.jpg
26,1509,https:/www.oregonlottery.org/scratch-its/cash-hunt/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1509_CashHunt_GameTile_1200x1200-300x300.jpg
27,1473,https:/www.oregonlottery.org/scratch-its/easy-as-123/,https://www.oregonlottery.org/wp-content/uploads/2022/08/1473_EasyAs123_Tile_1200x1200-300x300.jpg
28,1448,https:/www.oregonlottery.org/scratch-its/lucky-spot/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1448_Lucky_Spot_Tile__1200x1200-300x300.jpg
