,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,2.0,1437,15000.0,3.65,Top Prize Claimed,,2nd Chance,2022-01-13,2023-05-01T00:00:00,2024-05-01,2024-01-15,https:/www.oregonlottery.org/scratch-its/crazy-hearts-crossword/,Crazy Hearts Crossword,676621,60344,2567784,0.0,2469666.65,220255.6,1793045.65,159911.6,inf,inf,,3.65,-2.724107809220066e-06,9.88,6.9441301511606985,0.42227503285358664,0.2739733490726658,0.27397267484752996,-6.742251358327067e-07,0.10125082290980908,0.14400651748050142,0.04275569457069234,0.06273813204742162,0.030652849817234252,5.312622103035635,10.869164654386159,14.0,0.19,-0.23610988121225493,0.18888560986129715,-0.23610988121225493,0.04,0.02968741068889974,0.99999975903462,https://www.oregonlottery.org/wp-content/uploads/2021/08/1437_Crazy-Heart-Crossword_1200x1200-300x300.jpg,,,,2024-01-15,732,18.666666666666668,20.333333333333332,5.0,19.666666666666668,,15.916666666666668,8.0,1.0,/oregon-statistics-for-each-scratch-it-game
1,2.0,1439,10000.0,3.75,Top Prize Claimed,,2nd Chance,2022-08-23,2023-09-26T00:00:00,2024-09-26,2024-01-15,https:/www.oregonlottery.org/scratch-its/lucky-bug/,Lucky Bug,260229,36577,1422245,0.0,975858.75,137163.75,715629.75,100586.75,inf,inf,,3.75,-5.467916997048406e-06,8.25,7.453052683031146,0.10751639598256026,0.26666812478583873,0.2666668716145177,-1.2531713210472972e-06,0.12114783141226132,0.13417320962681045,0.013025378214549133,0.04311752325573475,0.016371010250146926,7.729175302464209,20.336276567552083,10.0,0.27,-0.12829539085375827,0.27255892624104167,-0.12829539085375827,0.1,0.09576875001333095,0.9999992314461493,https://www.oregonlottery.org/wp-content/uploads/2021/12/1439_LuckyBug_1200x1200-300x300.jpg,,,,2024-01-15,510,28.666666666666668,31.333333333333332,31.0,35.0,,31.5,38.5,7.0,/oregon-statistics-for-each-scratch-it-game
2,3.0,1442,25000.0,3.77,Top Prize Claimed,,2nd Chance,2022-06-22,2023-05-15T00:00:00,2024-05-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/mustang-bingo/,Mustang Bingo,244650,27323,2142800,0.0,922330.5,103007.71,677680.5,75684.71,inf,inf,,3.77,-6.892687935648487e-06,9.22,8.329916459697449,0.1068663023951828,0.2652538177017096,0.2652521331844351,-1.6845172745028059e-06,0.10845864844136806,0.12004922316307612,0.01159057472170806,0.03861077745471604,0.00996570049100435,8.630441193184963,33.34821668577201,10.0,0.29,-0.08729960599250312,0.2853268871694804,-0.08729960599250312,0.07,0.0688585724232768,0.9999992015859404,https://www.oregonlottery.org/wp-content/uploads/2021/09/1442_MustangBingo_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,572,31.333333333333332,33.666666666666664,35.0,27.333333333333332,,31.833333333333332,41.0,3.0,/oregon-statistics-for-each-scratch-it-game
3,3.0,1443,25000.0,3.62,Top Prize Claimed,,2nd Chance,2022-01-19,2023-03-01T00:00:00,2024-03-01,2024-01-15,https:/www.oregonlottery.org/scratch-its/pharaohs-gold-crossword/,Pharaoh's Gold Crossword,333143,27402,1774262,0.0,1205977.6600000001,99195.24,872834.6600000001,71793.24,inf,inf,,3.62,-2.4194709343433686e-06,7.99,5.842628748607141,0.3678539331132906,0.27624376228640557,0.27624324510334775,-5.17183057824333e-07,0.1251272745602097,0.1711558346469294,0.04602856008671971,0.041024852697939804,0.016557210242845573,8.122747596890497,20.09961452509692,9.0,0.2,-0.15722867489600448,0.1994556177226675,-0.15722867489600448,0.04,0.036697622041789175,0.9999998322044973,https://www.oregonlottery.org/wp-content/uploads/2021/11/1443_PharaohsGold_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,726,30.0,31.0,6.0,24.0,,22.75,17.0,1.0,/oregon-statistics-for-each-scratch-it-game
4,20.0,1444,250000.0,2.74,Top Prize Claimed,,2nd Chance,2022-01-10,2023-03-15T00:00:00,2024-03-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/diamond-mine/,Diamond Mine,125667,4840,465012,0.0,344327.58,13261.6,218660.58000000002,8421.6,inf,inf,,2.74,-4.524340954339044e-05,5.2,4.653130447708753,0.11761151235798026,0.36498001659000073,0.3649641184106968,-1.5898179303919235e-05,0.19229319055878139,0.21490908351654095,0.022615892957759565,0.058041001155617264,0.032311863566729326,5.736260014038271,10.274562239852415,6.0,0.2,-0.02047263643093414,0.20309554332252472,-0.02047263643093414,0.03,0.033322354377942356,0.9999982551467148,https://www.oregonlottery.org/wp-content/uploads/2021/09/1444_DiamondMine_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,735,21.0,19.666666666666668,8.0,10.333333333333334,,14.750000000000002,6.0,3.0,/oregon-statistics-for-each-scratch-it-game
5,2.0,1445,10000.0,3.75,Top Prize Claimed,,2nd Chance,2022-01-06,2023-03-31T00:00:00,2024-03-31,2024-01-15,https:/www.oregonlottery.org/scratch-its/beat-the-house/,Beat the House,262032,35644,1300330,0.0,982620.0,133665.0,720588.0,98021.0,inf,inf,,3.75,0.0,9.02,7.444147304146243,0.2122412024771243,0.26666666666666666,0.26666666666666666,0.0,0.11081434930610107,0.13433372005454805,0.023519370748446983,0.04938890005375591,0.020646164520737694,6.747877126129003,16.127469873094658,11.0,0.24,-0.16668232752700807,0.24469008341749898,-0.16668232752700807,0.09,0.08130216635851631,1.0,https://www.oregonlottery.org/wp-content/uploads/2021/11/01445_BeatTheHouse_1200x1200-300x300.jpg,,,,2024-01-15,739,25.333333333333332,28.0,23.0,37.333333333333336,,28.416666666666664,31.0,4.0,/oregon-statistics-for-each-scratch-it-game
6,1.0,1448,1000.0,4.37,,,2nd Chance,2022-12-21,2023-09-26T00:00:00,2024-09-26,2024-01-15,https:/www.oregonlottery.org/scratch-its/lucky-spot/,Lucky Spot,500786,291113,2109483,3.0,2188434.82,1272163.81,1687648.8199999998,981050.81,424054.60333333333,424054.60333333333,0.0,4.37,-6.367104563394052e-07,8.37,8.214873178953374,0.019425594980628975,0.2288330976455061,0.22883303768813681,-5.995736929165218e-08,0.11941079877342761,0.1217304245867136,0.002319625813285986,0.03738808667648322,0.021532808030576275,8.91522286265517,15.478676458896112,10.0,0.37,-0.04246204186838615,0.3746901930019974,-0.04246204186838615,0.54,0.5305326625428175,0.99999963621678,https://www.oregonlottery.org/wp-content/uploads/2021/06/1448_Lucky_Spot_Tile__1200x1200-300x300.jpg,,,,2024-01-15,390,32.0,27.666666666666668,45.0,44.0,30.916666666666668,35.91666666666667,50.0,7.0,/oregon-statistics-for-each-scratch-it-game
7,2.0,1449,15000.0,3.65,,,2nd Chance,2022-03-17,2023-08-01T00:00:00,2024-08-01,2024-01-15,https:/www.oregonlottery.org/scratch-its/bread-and-butter-crossword/,Bread and Butter Crossword,668133,70476,2536128,1.0,2438685.4499999997,257237.4,1770552.4499999997,186761.4,257237.4,257237.4,0.0,3.65,-1.5549838398340645e-06,9.39,6.945505344372389,0.35258454289986324,0.27397302876335833,0.27397265329470594,-3.754686523915751e-07,0.10644658427831144,0.14397800453933166,0.037531420261020215,0.06143430630790978,0.03193238802032572,5.425432343368293,10.434744382745487,13.0,0.23,-0.1780895556101742,0.2303051271784386,-0.1780895556101742,0.07,0.06506107860060652,0.9999998383949087,https://www.oregonlottery.org/wp-content/uploads/2021/08/1449_Bread-Butter_Tile_1200x1200-300x300.jpg,,,,2024-01-15,669,19.333333333333332,20.0,19.0,32.0,26.583333333333332,23.383333333333333,20.0,2.0,/oregon-statistics-for-each-scratch-it-game
8,2.0,1457,10000.0,3.47,Top Prize Claimed,,2nd Chance,2021-12-08,2023-04-14T00:00:00,2024-04-14,2024-01-15,https:/www.oregonlottery.org/scratch-its/giraffe-bingo/,Giraffe Bingo,427549,58419,2893680,0.0,1483595.03,202713.93000000002,1056046.03,144294.93000000002,inf,inf,,3.47,-4.587745893971169e-06,6.68,6.322937132677285,0.055714645577913356,0.2881857601633837,0.28818444386776715,-1.3162956165602147e-06,0.14980785642756014,0.1581543480532086,0.008346491625648461,0.03665336624233976,0.016626745629537913,9.092792419372817,20.034793910495477,8.0,0.29,-0.0832138863288172,0.2890959139275724,-0.0832138863288172,0.1,0.0933800450938185,0.9999992771380259,https://www.oregonlottery.org/wp-content/uploads/2021/08/1457_Giraffe-Bingo_1200x1200-300x300.jpg,,,,2024-01-15,768,33.0,30.666666666666668,37.0,34.0,,33.66666666666667,46.0,9.0,/oregon-statistics-for-each-scratch-it-game
9,1.0,1460,1500.0,3.57,Top Prize Claimed,,2nd Chance,2021-12-28,2023-04-14T00:00:00,2024-04-14,2024-01-15,https:/www.oregonlottery.org/scratch-its/night-owl-crossword/,Night Owl Crossword,746935,138616,2851565,0.0,2666557.9499999997,494859.12,1919622.9499999997,356243.12,inf,inf,,3.57,-2.424932574690766e-07,20.62,15.097535980795145,0.3655571318216354,0.28011211274322584,0.28011214461194717,3.1868721328542904e-08,0.04850472558850097,0.06623597395442887,0.017731248365927904,0.09959960902080145,0.0195169048411731,3.346652550466558,17.06706688765467,34.0,0.2,-0.40047973372081813,0.20463202649643636,-0.40047973372081813,0.11,0.0816604276307994,1.0000000259247597,https://www.oregonlottery.org/wp-content/uploads/2021/11/1460_Night_Owl_Crossword_Tile_1200x1200-300x300.jpg,,,,2024-01-15,748,17.333333333333332,29.0,10.0,40.666666666666664,,24.25,23.0,2.0,/oregon-statistics-for-each-scratch-it-game
