price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,secondChance,dateexported,gameURL,gamePhoto
2.0,Retro Riches,1520,10000.0,0,Top Prize Claimed,2023-02-28,2025-05-15,2026-05-15,3.95,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Precious Metal,1538,10000.0,0,Top Prize Claimed,2023-12-29,2025-06-15,2026-06-15,3.96,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
1.0,Test Your Luck,1539,2000.0,0,Top Prize Claimed,2023-12-22,2025-04-15,2026-04-25,4.06,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
20.0,Lux,1540,200000.0,0,Top Prize Claimed,2023-11-14,2025-05-15,2026-05-15,2.71,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
3.0,Spirit of the Road Crossword,1552,25000.0,0,Top Prize Claimed,2024-07-16,2025-06-15,2026-06-15,3.62,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Money Maze,1553,50000.0,0,Top Prize Claimed,2023-12-19,2025-05-15,2026-05-15,3.8,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Kickin' Ax Bingo,1554,10000.0,0,Top Prize Claimed,2024-07-18,2025-07-15,2026-07-15,3.47,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Donuts to Dollars Crossword,1555,15000.0,0,Top Prize Claimed,2024-03-07,2025-05-15,2026-05-15,3.65,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Iron Forged,1558,100000.0,0,Top Prize Claimed,2023-12-12,2025-05-15,2026-05-15,3.43,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Drive-in Crossword,1559,50000.0,0,Top Prize Claimed,2024-06-12,2025-07-15,2026-07-15,3.53,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
