Description,prizeamount,TierLevel,Odds,PrizesWon,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,dateexported
2.00,2.0,1,0.10246919095516205,65688,9965,75653,1538,Precious Metal,2026-04-22
3.00,3.0,1,0.08995936810970306,58205,8212,66417,1538,Precious Metal,2026-04-22
5.00,5.0,1,0.025065690279006958,16572,1934,18506,1538,Precious Metal,2026-04-22
10.00,10.0,1,0.012573490152135491,8501,782,9283,1538,Precious Metal,2026-04-22
15.00,15.0,1,0.005000679986551404,3367,325,3692,1538,Precious Metal,2026-04-22
20.00,20.0,1,0.012466470245271921,8490,714,9204,1538,Precious Metal,2026-04-22
30.00,30.0,1,0.003838560020085424,2659,175,2834,1538,Precious Metal,2026-04-22
45.00,45.0,1,0.001210880021972116,825,69,894,1538,Precious Metal,2026-04-22
100.00,100.0,1,0.00016117999621201307,113,6,119,1538,Precious Metal,2026-04-22
300.00,300.0,1,1.7610000213608146e-05,13,0,13,1538,Precious Metal,2026-04-22
10000.00,10000.0,1,2.7099999897473026e-06,2,0,2,1538,Precious Metal,2026-04-22
1.00,1.0,1,0.14496156573295593,162231,30133,192364,1539,Test Your Luck,2026-04-22
2.00,2.0,1,0.049929920583963394,57437,8820,66257,1539,Test Your Luck,2026-04-22
4.00,4.0,1,0.025100230239331722,29354,3954,33308,1539,Test Your Luck,2026-04-22
5.00,5.0,1,0.014929159544408321,17889,1922,19811,1539,Test Your Luck,2026-04-22
10.00,10.0,1,0.007483800174668431,9043,888,9931,1539,Test Your Luck,2026-04-22
20.00,20.0,1,0.0025109300622716546,3112,220,3332,1539,Test Your Luck,2026-04-22
40.00,40.0,1,0.0007437799940817058,946,41,987,1539,Test Your Luck,2026-04-22
50.00,50.0,1,0.0002728000108618289,342,20,362,1539,Test Your Luck,2026-04-22
100.00,100.0,1,0.000117559997306671,151,5,156,1539,Test Your Luck,2026-04-22
200.00,200.0,1,4.5969998609507456e-05,57,4,61,1539,Test Your Luck,2026-04-22
400.00,400.0,1,3.769999921132694e-06,5,0,5,1539,Test Your Luck,2026-04-22
2000.00,2000.0,1,3.769999921132694e-06,5,0,5,1539,Test Your Luck,2026-04-22
20.00,20.0,1,0.15000833570957184,69103,2805,71908,1540,Lux,2026-04-22
25.00,25.0,1,0.07488317787647247,34490,1406,35896,1540,Lux,2026-04-22
40.00,40.0,1,0.07510847970843315,34938,1066,36004,1540,Lux,2026-04-22
50.00,50.0,1,0.036653030663728714,17107,463,17570,1540,Lux,2026-04-22
100.00,100.0,1,0.02755132003221661,12916,291,13207,1540,Lux,2026-04-22
200.00,200.0,1,0.004168049956206232,1967,31,1998,1540,Lux,2026-04-22
400.00,400.0,1,0.0007051199936540797,332,6,338,1540,Lux,2026-04-22
1000.00,1000.0,1,2.5040000309672905e-05,12,0,12,1540,Lux,2026-04-22
200000.00,200000.0,1,4.170000011072261e-06,2,0,2,1540,Lux,2026-04-22
3.00,3.0,1,0.10500898957252502,109876,12764,122640,1552,Spirit of the Road Crossword,2026-04-22
5.00,5.0,1,0.06999315321445465,76706,5039,81745,1552,Spirit of the Road Crossword,2026-04-22
6.00,6.0,1,0.025053519755601883,26875,2385,29260,1552,Spirit of the Road Crossword,2026-04-22
8.00,8.0,1,0.03500470891594887,38794,2088,40882,1552,Spirit of the Road Crossword,2026-04-22
10.00,10.0,1,0.014995289966464043,16695,818,17513,1552,Spirit of the Road Crossword,2026-04-22
15.00,15.0,1,0.010032540187239647,11303,414,11717,1552,Spirit of the Road Crossword,2026-04-22
20.00,20.0,1,0.004972170107066631,5549,258,5807,1552,Spirit of the Road Crossword,2026-04-22
25.00,25.0,1,0.004995290189981461,5623,211,5834,1552,Spirit of the Road Crossword,2026-04-22
30.00,30.0,1,0.0033256199676543474,3773,111,3884,1552,Spirit of the Road Crossword,2026-04-22
50.00,50.0,1,0.0015934599796310067,1804,57,1861,1552,Spirit of the Road Crossword,2026-04-22
75.00,75.0,1,0.0007902999932412058,898,25,923,1552,Spirit of the Road Crossword,2026-04-22
100.00,100.0,1,0.0003039700022782199,346,9,355,1552,Spirit of the Road Crossword,2026-04-22
1000.00,1000.0,1,3.41999998454412e-06,4,0,4,1552,Spirit of the Road Crossword,2026-04-22
25000.00,25000.0,1,2.570000106061343e-06,3,0,3,1552,Spirit of the Road Crossword,2026-04-22
5.00,5.0,1,0.14000000059604645,93902,7507,101409,1553,Money Maze,2026-04-22
10.00,10.0,1,0.06996755860745907,48350,2331,50681,1553,Money Maze,2026-04-22
15.00,15.0,1,0.020006900187581778,13901,591,14492,1553,Money Maze,2026-04-22
25.00,25.0,1,0.02001518988981843,14039,459,14498,1553,Money Maze,2026-04-22
50.00,50.0,1,0.006978680030442774,4943,112,5055,1553,Money Maze,2026-04-22
100.00,100.0,1,0.005824529886012897,4126,93,4219,1553,Money Maze,2026-04-22
200.00,200.0,1,0.00023194000095827505,168,0,168,1553,Money Maze,2026-04-22
500.00,500.0,1,6.212000153027475e-05,44,1,45,1553,Money Maze,2026-04-22
50000.00,50000.0,1,2.7599999157246202e-06,2,0,2,1553,Money Maze,2026-04-22
2.00,2.0,1,0.12996713817119598,108702,21824,130526,1554,Kickin' Ax Bingo,2026-04-22
3.00,3.0,1,0.03999602049589157,33565,6603,40168,1554,Kickin' Ax Bingo,2026-04-22
4.00,4.0,1,0.052455440163612366,44943,7738,52681,1554,Kickin' Ax Bingo,2026-04-22
5.00,5.0,1,0.015006469562649727,12865,2206,15071,1554,Kickin' Ax Bingo,2026-04-22
6.00,6.0,1,0.017504729330539703,15057,2523,17580,1554,Kickin' Ax Bingo,2026-04-22
10.00,10.0,1,0.02503633964806795,21991,3153,25144,1554,Kickin' Ax Bingo,2026-04-22
20.00,20.0,1,0.004993529990315437,4208,807,5015,1554,Kickin' Ax Bingo,2026-04-22
