,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,extrachances,secondChance,dateexported,gameURL,gamePhoto
258,2.0,Lazy Dog Crossword,1493,15000.0,0,Top Prize Claimed,2023-02-27,2024-05-31T00:00:00,2025-05-31,3.65,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/lazy-dog-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1493_LazyDogCrossword_GameTile_1200x1200-300x300.jpg
259,10.0,7s On FIre,1494,100000.0,0,Top Prize Claimed,2023-02-27,2024-05-01T00:00:00,2025-05-01,3.5,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/7s-on-fire/,https://www.oregonlottery.org/wp-content/uploads/2022/05/1494_7sOnFire_GameTile_1200x1200-300x300.jpg
265,5.0,Casino Cash Crossword,1500,50000.0,1,,2023-03-15,2024-05-15T00:00:00,2025-05-15,3.53,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/casino-cash-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1500_CasinoCashCrossword_GameTile_1200x1200-300x300.jpg
272,2.0,Fine Silver,1507,10000.0,0,Top Prize Claimed,2023-03-01,2024-06-28T00:00:00,2025-06-28,3.7,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/fine-silver/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1507-_FineSilver_1200x1200-300x300.jpg
273,10.0,Triple Diamond Payout,1508,100000.0,0,Top Prize Claimed,2023-12-13,2024-10-15T00:00:00,2025-10-15,3.06,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/triple-diamond-payout/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1508_TripleDiamondPayout_GameTile_1200x1200-300x300.jpg
275,2.0,Marionberry Bingo,1510,10000.0,0,Top Prize Claimed,2023-03-14,2024-06-28T00:00:00,2025-06-28,3.47,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/marionberry-bingo/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1510_MarionberryBingo_GameTile_1200x1200-300x300.jpg
276,1.0,Deep Sea Crossword,1511,1500.0,0,Top Prize Claimed,2023-06-05,2024-07-15T00:00:00,2025-07-15,3.57,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/deep-sea-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1511_DeepSeaCrossword_GameTile_1200x1200-300x300.jpg
277,20.0,The Crown Jewels,1512,200000.0,0,Top Prize Claimed,2023-03-08,2024-11-20T00:00:00,2025-11-20,2.75,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/crown-jewels/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1512_TheCrownJewels_GameTile_1200x1200-300x300.jpg
280,5.0,Rose Gold Riches,1515,50000.0,0,Top Prize Claimed,2023-07-27,2024-07-15T00:00:00,2025-07-15,3.8,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/rose-gold-riches/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1515_RoseGoldRiches_GameTile_1200x1200-300x300.jpg
281,1.0,Grand,1516,1000.0,1,,2023-05-30,2024-06-14T00:00:00,2025-06-14,4.2,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/grand/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1516_Grand_GameTile_1200x1200-300x300.jpg
282,2.0,Bigfoot Crossword,1517,15000.0,0,Top Prize Claimed,2023-06-23,2024-07-15T00:00:00,2025-07-15,3.65,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/bigfoot-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1517_BigfootCrossword_GameTile_1200x1200-300x300.jpg
283,2.0,This Calls For Confetti,1518,500.0,2,,2023-06-13,2024-08-01T00:00:00,2025-08-01,3.64,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/this-calls-for-confetti/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1518_ThisCallsForConfetti_GameTile_1200x1200-300x300.jpg
286,10.0,Magnificent 9s,1521,100000.0,0,Top Prize Claimed,2023-05-17,2024-05-01T00:00:00,2025-05-01,3.19,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/magnificent-9s/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1521_Magnificent9s_GameTile_1200x1200-300x300.jpg
287,5.0,Legendary Crossword,1522,50000.0,0,Top Prize Claimed,2023-11-29,2024-10-15T00:00:00,2025-10-15,3.53,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/legendary-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1522_LegendaryCrossword_GameTile_1200x1200-300x300.jpg
288,3.0,Kayak Crossword,1523,25000.0,0,Top Prize Claimed,2023-10-30,2024-10-15T00:00:00,2025-10-15,3.62,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/kayak-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/11/1523_KayakCrossword_1200x1200-300x300.jpg
290,10.0,Big Money,1525,100000.0,0,Top Prize Claimed,2023-08-02,2024-06-14T00:00:00,2025-06-14,3.49,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/big-money-2/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1525_BigMoney_GameTile_1200x1200-300x300.jpg
293,3.0,Knotty Bingo,1528,25000.0,0,Top Prize Claimed,2023-08-01,2024-05-31T00:00:00,2025-05-31,3.78,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/knotty-bingo/,https://www.oregonlottery.org/wp-content/uploads/2022/12/1528_KnottyBingo_GameTile_1200x1200-300x300.jpg
294,20.0,Pharaoh's Tomb,1529,250000.0,0,Top Prize Claimed,2023-04-26,2024-06-14T00:00:00,2025-06-14,4.27,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/pharaohs-tomb/,https://www.oregonlottery.org/wp-content/uploads/2023/02/1529_PharaohsTomb_GameTile_1200x1200-300x300.jpg
295,10.0,Masquerade Crossword,1530,100000.0,0,Top Prize Claimed,2023-08-23,2024-06-28T00:00:00,2025-06-28,3.32,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/masquerade-crossword/,https://www.oregonlottery.org/wp-content/uploads/2023/01/1530_MasqueradeCrossword_GameTile_1200x1200-300x300.jpg
297,2.0,Big League Bingo,1532,10000.0,0,Top Prize Claimed,2024-01-05,2025-03-15T00:00:00,2026-03-15,3.47,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/big-league-bingo/,https://www.oregonlottery.org/wp-content/uploads/2023/01/1532_BigLeagueBingo_GameTile_1200x1200-300x300.jpg
299,2.0,Porker Chip,1534,10000.0,0,Top Prize Claimed,2023-12-19,2024-08-01T00:00:00,2025-08-01,3.91,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/porker-chip/,https://www.oregonlottery.org/wp-content/uploads/2023/02/1534_PorkerChip_GameTile_1200x1200-300x300.jpg
300,5.0,Money Numbers,1535,50000.0,0,Top Prize Claimed,2023-05-31,2024-05-15T00:00:00,2025-05-15,3.76,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/money-numbers/,https://www.oregonlottery.org/wp-content/uploads/2023/01/1535_MoneyNumbers_GameTile_1200x1200-300x300.jpg
301,2.0,Country Crossword,1536,15000.0,0,Top Prize Claimed,2023-12-07,2024-11-20T00:00:00,2025-11-20,3.65,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/country-crossword/,https://www.oregonlottery.org/wp-content/uploads/2023/02/1536_CountryCrossword_GameTile_1200x1200-300x300.jpg
302,5.0,Player's Club,1537,50000.0,0,Top Prize Claimed,2023-08-22,2024-06-14T00:00:00,2025-06-14,3.79,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/players-club/,https://www.oregonlottery.org/wp-content/uploads/2023/04/1537_PlayersClub_GameTile_1200x1200-300x300.jpg
