price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
1,$500 a Week for Life,1767,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3341,,350000.0,0,0,4.0,Available,,,,,,2026-01-01
2,LOVE IS BLIND,1766,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3340,,20000.0,0,0,5.0,Available,,,,,,2026-01-01
5,"$10,000 a Month for Life",1765,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3339,,1600000.0,0,0,5.0,Available,,,,,,2026-01-01
10,"$20,000 a Month for Life",1764,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3338,,3200000.0,0,0,6.0,Available,,,,,,2026-01-01
20,"$500,000 a Year for Life",1763,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3337,,7250000.0,0,0,5.0,Available,,,,,,2026-01-01
50,"$1,000,000 a Year for Life",1762,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3336,,14500000.0,0,0,5.0,Available,,,,,,2026-01-01
1,Ho Ho Ho,1761,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3335,,500.0,0,0,238.0,Available,,,,,,2026-01-01
3,Trim the Tree X-word,1759,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3333,,30000.0,0,0,5.0,Available,,,,,,2026-01-01
5,ELF,1758,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3332,,250000.0,0,0,4.0,Available,,,,,,2026-01-01
10,"$2,500 Festive Frenzy",1757,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3331,,2500.0,0,0,962.0,Available,,,,,,2026-01-01
20,Fro$ted Fortune,1756,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3330,,500000.0,0,0,9.0,Available,,,,,,2026-01-01
30,Merry Money Match,1755,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3329,,1000000.0,0,0,4.0,Available,,,,,,2026-01-01
2,Mini Monsters $100 Blowout,1754,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3328,,100.0,0,0,11514.0,Available,,,,,,2026-01-01
3,Crossword Extra,1753,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3327,,50000.0,0,0,8.0,Available,,,,,,2026-01-01
5,Winning 7s,1752,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3326,,100000.0,0,0,14.0,Available,,,,,,2026-01-01
10,Extreme Green,1751,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3325,,500000.0,0,0,9.0,Available,,,,,,2026-01-01
30,Cash Spectacular,1750,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3324,,1500000.0,0,0,10.0,Available,,,,,,2026-01-01
1,Simply A Buck,1749,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3323,,1000.0,0,0,21.0,Available,,,,,,2026-01-01
5,Money Maker,1748,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3322,,200000.0,0,0,7.0,Available,,,,,,2026-01-01
10,JURASSIC PARK,1747,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3321,,500000.0,0,0,8.0,Available,,,,,,2026-01-01
20,Millionaire Loading,1746,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3320,,1000000.0,0,0,4.0,Available,,,,,,2026-01-01
2,Win Pigs Fly,1745,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3319,,20000.0,0,0,4.0,Available,,,,,,2026-01-01
5,Goat Load of Cash Crossword,1744,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3318,,200000.0,0,0,5.0,Available,,,,,,2026-01-01
10,"$50, $100 or $500",1743,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3317,,500.0,0,0,4705.0,Available,,,,,,2026-01-01
30,$3 Million Mega Moolah Multiplier,1742,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3316,,3000000.0,0,0,3.0,Available,,,,,,2026-01-01
1,Win It All,1741,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3315,,5000.0,0,0,1.0,Available,,,,,,2026-01-01
3,Bonus Ball Bingo,1740,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3314,,50000.0,0,0,7.0,Available,,,,,,2026-01-01
5,MONOPOLY SECRET VAULT,1739,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3313,,200000.0,0,0,5.0,Available,,,,,,2026-01-01
20,Jackpot,1738,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3312,,1000000.0,0,0,3.0,Available,,,,,,2026-01-01
2,Neon 9s,1737,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3311,,9000.0,0,0,1.0,Available,,,,,,2026-01-01
5,High 5,1736,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3310,,155000.0,0,0,3.0,Available,,,,,,2026-01-01
10,Six Figures,1735,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3309,,600000.0,0,0,2.0,Available,,,,,,2026-01-01
30,3s a Charm,1734,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3308,,3000000.0,0,0,2.0,Available,,,,,,2026-01-01
1,20X the Cash,1733,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3307,,2000.0,0,0,0.0,Claimed,,,,,,2026-01-01
2,50X the Cash,1732,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3306,,20000.0,0,0,1.0,Available,,,,,,2026-01-01
5,Blingo,1731,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3305,,200000.0,0,0,3.0,Available,,,,,,2026-01-01
5,100X the Cash,1730,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3304,,100000.0,0,0,3.0,Available,,,,,,2026-01-01
20,200X the Cash,1729,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3303,,1000000.0,0,0,1.0,Available,,,,,,2026-01-01
1,Sham-rockin’ Surprize,1728,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3302,,1700.0,0,0,0.0,Claimed,,,,,,2026-01-01
2,Four Leaf Frenzy,1727,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3301,,17000.0,0,0,7.0,Available,,,,,,2026-01-01
5,Lucky Luck,1726,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3300,,70000.0,0,0,2.0,Available,,,,,,2026-01-01
5,All About Money,1725,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3299,,200000.0,0,0,1.0,Available,,,,,,2026-01-01
10,Lady Luck,1724,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3298,,500000.0,0,0,3.0,Available,,,,,,2026-01-01
30,"The Hunt for $3,000,000",1723,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3297,,3000000.0,0,0,3.0,Available,,,,,,2026-01-01
1,Love Note,1722,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3296,,1400.0,0,0,2.0,Available,,,,,,2026-01-01
2,BETTY BOOP™,1721,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3295,,14000.0,0,0,1.0,Available,,,,,,2026-01-01
5,Call Me,1720,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3294,,100000.0,0,0,3.0,Available,,,,,,2026-01-01
10,"Fast $1,000",1719,https://www.palottery.state.pa.us/Scratch-Offs/View-Scratch-Off.aspx?id=3293,,100000.0,0,0,27.0,Available,,,,,,2026-01-01
