prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameName,gameNumber,price,dateexported
350000.0,4.0,4.0,$500 a Week for Life,1767,1,2026-01-01
1000.0,10.0,10.0,$500 a Week for Life,1767,1,2026-01-01
100.0,918.0,918.0,$500 a Week for Life,1767,1,2026-01-01
40.0,6291.0,6291.0,$500 a Week for Life,1767,1,2026-01-01
20.0,10096.0,10096.0,$500 a Week for Life,1767,1,2026-01-01
10.0,153747.0,153747.0,$500 a Week for Life,1767,1,2026-01-01
20000.0,5.0,5.0,LOVE IS BLIND,1766,2,2026-01-01
2000.0,20.0,20.0,LOVE IS BLIND,1766,2,2026-01-01
400.0,998.0,998.0,LOVE IS BLIND,1766,2,2026-01-01
100.0,1656.0,1656.0,LOVE IS BLIND,1766,2,2026-01-01
40.0,7914.0,7914.0,LOVE IS BLIND,1766,2,2026-01-01
20.0,149720.0,149720.0,LOVE IS BLIND,1766,2,2026-01-01
1600000.0,5.0,5.0,"$10,000 a Month for Life",1765,5,2026-01-01
5000.0,40.0,40.0,"$10,000 a Month for Life",1765,5,2026-01-01
1000.0,923.0,923.0,"$10,000 a Month for Life",1765,5,2026-01-01
500.0,4989.0,4989.0,"$10,000 a Month for Life",1765,5,2026-01-01
100.0,41911.0,41911.0,"$10,000 a Month for Life",1765,5,2026-01-01
50.0,92185.0,92185.0,"$10,000 a Month for Life",1765,5,2026-01-01
3200000.0,6.0,6.0,"$20,000 a Month for Life",1764,10,2026-01-01
10000.0,24.0,24.0,"$20,000 a Month for Life",1764,10,2026-01-01
1000.0,837.0,837.0,"$20,000 a Month for Life",1764,10,2026-01-01
500.0,14938.0,14938.0,"$20,000 a Month for Life",1764,10,2026-01-01
100.0,88934.0,88934.0,"$20,000 a Month for Life",1764,10,2026-01-01
50.0,203709.0,203709.0,"$20,000 a Month for Life",1764,10,2026-01-01
7250000.0,5.0,5.0,"$500,000 a Year for Life",1763,20,2026-01-01
50000.0,10.0,10.0,"$500,000 a Year for Life",1763,20,2026-01-01
5000.0,289.0,289.0,"$500,000 a Year for Life",1763,20,2026-01-01
1000.0,1806.0,1806.0,"$500,000 a Year for Life",1763,20,2026-01-01
500.0,21881.0,21881.0,"$500,000 a Year for Life",1763,20,2026-01-01
200.0,22973.0,22973.0,"$500,000 a Year for Life",1763,20,2026-01-01
14500000.0,5.0,5.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
100000.0,10.0,10.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
10000.0,45.0,45.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
5000.0,281.0,281.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
1000.0,14213.0,14213.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
500.0,101262.0,101262.0,"$1,000,000 a Year for Life",1762,50,2026-01-01
500.0,238.0,238.0,Ho Ho Ho,1761,1,2026-01-01
50.0,789.0,789.0,Ho Ho Ho,1761,1,2026-01-01
25.0,2768.0,2768.0,Ho Ho Ho,1761,1,2026-01-01
10.0,36846.0,36846.0,Ho Ho Ho,1761,1,2026-01-01
5.0,75763.0,75763.0,Ho Ho Ho,1761,1,2026-01-01
4.0,117677.0,117677.0,Ho Ho Ho,1761,1,2026-01-01
30000.0,5.0,5.0,Trim the Tree X-word,1759,3,2026-01-01
5000.0,9.0,9.0,Trim the Tree X-word,1759,3,2026-01-01
1000.0,18.0,18.0,Trim the Tree X-word,1759,3,2026-01-01
500.0,75.0,75.0,Trim the Tree X-word,1759,3,2026-01-01
250.0,404.0,404.0,Trim the Tree X-word,1759,3,2026-01-01
100.0,2593.0,2593.0,Trim the Tree X-word,1759,3,2026-01-01
250000.0,4.0,4.0,ELF,1758,5,2026-01-01
10000.0,31.0,31.0,ELF,1758,5,2026-01-01
1000.0,67.0,67.0,ELF,1758,5,2026-01-01
500.0,905.0,905.0,ELF,1758,5,2026-01-01
