,gameNumber,gameName,Price,Top Six Prizes,Wins Remaining
0,NEW 1657,Monster Multiplier  Second-Chance Eligible,$1,"$1,300 $200 $100 $30 $20 $10","7 17 1,677 4,729 12,975 52,963"
1,NEW 1656,Spooky Season  Second-Chance Eligible,$2,"$13,000 $1,000 $500 $200 $100 $40","9 33 117 882 2,186 10,487"
2,NEW 1655,Make Me Witch  Second-Chance Eligible,$5,"$100,000 $5,000 $1,000 $500 $200 $100","8 34 42 683 1,277 9,781"
3,NEW 1654,Win+ Win+ Win+,$10,"$500,000 $10,000 $1,000 $500 $400 $200","4 19 811 2,048 16,797 58,834"
4,1653,Cash Money,$2,"$20,000 $1,000 $400 $200 $100 $40","8 26 159 443 7,544 11,349"
5,1652,Double Your Dollars,$3,"$50,000 $1,000 $400 $200 $100 $50","9 219 3,002 1,497 6,394 12,046"
6,1651,PRESS YOUR LUCK®  Second-Chance Eligible  Available on iLottery,$5,"$200,000 $5,000 $1,000 $500 $250 $100","8 24 51 2,416 8,050 22,651"
7,1650,Big Money Millionaire,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400","4 8 11 2,536 2,500 10,035"
8,1649,Fast Loot,$1,"$5,000 $200 $100 $50 $40 $20","4 20 524 2,189 5,517 17,815"
9,1648,Watts of Cash,$5,"$200,000 $5,000 $1,000 $500 $200 $100","7 14 404 1,583 6,123 18,954"
10,1647,Feeling Lucky,$10,"$500,000 $10,000 $1,000 $500 $150 $100","7 22 519 8,958 12,199 115,764"
11,1646,"$3,000,000 Fun Fortune",$30,"$3,000,000 $300,000 $30,000 $3,000 $1,000 $500","4 8 25 57 5,406 6,278"
12,1645,Electric 8s,$2,"$18,000 $1,000 $400 $100 $80 $40","6 20 75 1,108 8,015 10,933"
13,1644,Match 3 Tripler,$5,"$200,000 $3,000 $1,000 $500 $300 $100","5 13 17 840 8,749 18,190"
14,1643,Million Dollar Cashfall,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400","3 6 13 1,591 14,792 4,372"
15,1642,10 Fold,$1,"$5,000 $300 $200 $100 $50 $30","3 14 91 668 1,209 2,381"
16,1641,Win It All,$5,"$200,000 $5,000 $1,000 $500 $200 $100","5 8 260 660 2,513 17,639"
17,1640,"$200,000 Crossword Gold",$5,"$200,000 $10,000 $5,000 $1,000 $500 $200","6 6 5 24 278 2,022"
18,1639,THE GAME OF LIFE  Available on iLottery,$10,"$1,040,000 $5,000 $1,000 $500 $200 $100","4 9 685 2,702 13,695 63,867"
19,1638,"$20,000 for $2",$2,"$20,000 $1,000 $400 $200 $100 $40","2 10 61 173 1,736 7,322"
20,1637,Crossword Multiplier,$3,"$50,000 $1,000 $300 $150 $100 $50","7 16 451 1,531 5,088 21,513"
21,1636,4 X 4 Payout,$5,"$150,000 $5,000 $1,000 $400 $200 $100","5 6 26 1,152 2,784 10,185"
22,1635,King of Dads,$5,"$100,000 $5,000 $1,000 $400 $200 $100","6 8 19 145 1,980 7,080"
23,1634,$1 Million? Seriously,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400","1 5 5 504 1,367 6,052"
