price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
1.0,BASEBALL,1410,https://www.rilot.com/en-us/instantgames.html#game-1410,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1410/ticket.jpg,2000.0,4.62,10,5,Available,2024-05-31,,,,,2026-06-14
2.0,COUNT UP CASH,1418,https://www.rilot.com/en-us/instantgames.html#game-1418,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1418/ticket.jpg,5000.0,5.21,2,2,Available,2026-05-01,,,,,2026-06-14
2.0,SAPPHIRE BLUE 2X,1491,https://www.rilot.com/en-us/instantgames.html#game-1491,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1491/ticket.jpg,5000.0,4.21,2,2,Available,2026-03-06,,,,,2026-06-14
2.0,CLASSIC BINGO,1439,https://www.rilot.com/en-us/instantgames.html#game-1439,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1439/ticket.jpg,25000.0,3.92,2,1,Available,2024-02-09,,,,,2026-06-14
2.0,CROSSWORD! 39,1434,https://www.rilot.com/en-us/instantgames.html#game-1434,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1434/ticket.jpg,15000.0,4.14,2,1,Available,2023-12-01,,,,,2026-06-14
3.0,RHODE ISLAND LOTERIA,1484,https://www.rilot.com/en-us/instantgames.html#game-1484,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1484/ticket.jpg,20000.0,3.88,2,1,Available,2025-06-29,,,,,2026-06-14
5.0,SOCCER FORTUNE,1504,https://www.rilot.com/en-us/instantgames.html#game-1504,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1504/ticket.jpg,10000.0,4.01,4,4,Available,2026-06-05,,,,,2026-06-14
5.0,RED HOT CASH,1497,https://www.rilot.com/en-us/instantgames.html#game-1497,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1497/ticket.jpg,5000.0,3.82,4,4,Available,2026-05-01,,,,,2026-06-14
5.0,CASH BLAST,1495,https://www.rilot.com/en-us/instantgames.html#game-1495,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1495/ticket.jpg,30000.0,4.88,2,2,Available,2026-04-03,,,,,2026-06-14
5.0,EMERALD GREEN 5X,1492,https://www.rilot.com/en-us/instantgames.html#game-1492,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1492/ticket.jpg,25000.0,3.97,3,2,Available,2026-03-06,,,,,2026-06-14
5.0,RI 250,1502,https://www.rilot.com/en-us/instantgames.html#game-1502,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1502/ticket.jpg,17760.0,3.67,3,1,Available,2026-01-02,,,,,2026-06-14
5.0,BOSTON CELTICS,1500,https://www.rilot.com/en-us/instantgames.html#game-1500,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1500/ticket.jpg,35000.0,3.96,2,1,Available,2025-11-09,,,,,2026-06-14
5.0,WHEEL OF FORTUNE 5,1453,https://www.rilot.com/en-us/instantgames.html#game-1453,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1453/ticket.jpg,30000.0,4.35,2,1,Available,2025-09-05,,,,,2026-06-14
5.0,5X MULTIPLIER,1451,https://www.rilot.com/en-us/instantgames.html#game-1451,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1451/ticket.jpg,30000.0,3.98,2,1,Available,2025-08-01,,,,,2026-06-14
5.0,CASH MONEY,1436,https://www.rilot.com/en-us/instantgames.html#game-1436,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1436/ticket.jpg,30000.0,4.88,2,1,Available,2025-06-06,,,,,2026-06-14
5.0,24 KARAT LINKED WINS,1458,https://www.rilot.com/en-us/instantgames.html#game-1458,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1458/ticket.jpg,10000.0,4.08,4,1,Available,2025-04-04,,,,,2026-06-14
5.0,LUCKY BREAK,1449,https://www.rilot.com/en-us/instantgames.html#game-1449,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1449/ticket.jpg,30000.0,3.85,2,1,Available,2025-01-31,,,,,2026-06-14
5.0,Unknown Game,1461,https://www.rilot.com/en-us/instantgames.html#game-1461,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1461/ticket.jpg,30000.0,3.97,2,1,Available,2024-08-02,,,,,2026-06-14
5.0,RHODE ISLAND SUPER LOTERIA,1446,https://www.rilot.com/en-us/instantgames.html#game-1446,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1446/ticket.jpg,40000.0,3.76,4,2,Available,2024-04-08,,,,,2026-06-14
5.0,10 YEARS OF CASH,1433,https://www.rilot.com/en-us/instantgames.html#game-1433,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1433/ticket.jpg,5000.0,3.84,6,2,Available,2023-12-01,,,,,2026-06-14
5.0,50X THE MONEY,1425,https://www.rilot.com/en-us/instantgames.html#game-1425,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1425/ticket.jpg,40000.0,3.79,6,3,Available,2023-09-29,,,,,2026-06-14
5.0,SUPER CROSSWORD,1417,https://www.rilot.com/en-us/instantgames.html#game-1417,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1417/ticket.jpg,50000.0,3.81,5,2,Available,2023-09-01,,,,,2026-06-14
10.0,THUNDER STRUCK,1455,https://www.rilot.com/en-us/instantgames.html#game-1455,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1455/ticket.jpg,50000.0,3.77,2,2,Available,2026-06-05,,,,,2026-06-14
10.0,100X THE MONEY,1477,https://www.rilot.com/en-us/instantgames.html#game-1477,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1477/ticket.jpg,75000.0,3.94,2,2,Available,2026-04-03,,,,,2026-06-14
10.0,RUBY RED 10X,1493,https://www.rilot.com/en-us/instantgames.html#game-1493,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1493/ticket.jpg,50000.0,3.75,2,1,Available,2026-03-06,,,,,2026-06-14
10.0,MEGA CASH,1487,https://www.rilot.com/en-us/instantgames.html#game-1487,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1487/ticket.jpg,50000.0,3.8,2,2,Available,2026-02-06,,,,,2026-06-14
10.0,WHEEL OF FORTUNE 10,1454,https://www.rilot.com/en-us/instantgames.html#game-1454,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1454/ticket.jpg,50000.0,3.74,2,1,Available,2025-09-05,,,,,2026-06-14
10.0,LUCKY MATCH,1486,https://www.rilot.com/en-us/instantgames.html#game-1486,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1486/ticket.jpg,50000.0,3.63,2,1,Available,2025-08-01,,,,,2026-06-14
10.0,MEGA LOTERIA,1475,https://www.rilot.com/en-us/instantgames.html#game-1475,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1475/ticket.jpg,60000.0,3.58,6,3,Available,2024-11-29,,,,,2026-06-14
10.0,MEGA CROSSWORD,1411,https://www.rilot.com/en-us/instantgames.html#game-1411,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1411/ticket.jpg,75000.0,3.55,4,2,Available,2023-08-29,,,,,2026-06-14
10.0,PINBALL WIZARD,1402,https://www.rilot.com/en-us/instantgames.html#game-1402,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1402/ticket.jpg,100000.0,3.46,6,2,Available,2022-12-02,,,,,2026-06-14
20.0,CASH CROWN,1488,https://www.rilot.com/en-us/instantgames.html#game-1488,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1488/ticket.jpg,200000.0,3.51,2,2,Available,2026-06-05,,,,,2026-06-14
30.0,MAGNIFICENT MONEY,1496,https://www.rilot.com/en-us/instantgames.html#game-1496,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1496/ticket.jpg,300000.0,4.19,2,2,Available,2026-04-03,,,,,2026-06-14
20.0,DIAMOND MINE 20X,1494,https://www.rilot.com/en-us/instantgames.html#game-1494,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1494/ticket.jpg,100000.0,3.79,2,2,Available,2026-03-06,,,,,2026-06-14
20.0,Unknown Game,1485,https://www.rilot.com/en-us/instantgames.html#game-1485,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1485/ticket.jpg,400.0,9.65,677,47,Available,2025-09-05,,,,,2026-06-14
30.0,MEGA MULTIPLIER,1474,https://www.rilot.com/en-us/instantgames.html#game-1474,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1474/ticket.jpg,30000.0,3.9,5,4,Available,2025-05-08,,,,,2026-06-14
20.0,THE NEXT RHODE ISLAND MILLNRE,1456,https://www.rilot.com/en-us/instantgames.html#game-1456,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1456/ticket.jpg,1000000.0,3.5,2,2,Available,2025-04-25,,,,,2026-06-14
20.0,20X CASH BLITZ,1470,https://www.rilot.com/en-us/instantgames.html#game-1470,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1470/ticket.jpg,100000.0,3.79,2,1,Available,2025-02-28,,,,,2026-06-14
20.0,Unknown Game,1450,https://www.rilot.com/en-us/instantgames.html#game-1450,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1450/ticket.jpg,200000.0,3.51,2,1,Available,2024-11-29,,,,,2026-06-14
30.0,RHODE ISLAND MILLIONS,1448,https://www.rilot.com/en-us/instantgames.html#game-1448,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1448/ticket.jpg,100000.0,4.22,3,2,Available,2024-06-28,,,,,2026-06-14
20.0,LOTERIA GRANDE,1445,https://www.rilot.com/en-us/instantgames.html#game-1445,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1445/ticket.jpg,5000.0,3.29,20,10,Available,2024-02-02,,,,,2026-06-14
50.0,2 MILLION ROYALE,1424,https://www.rilot.com/en-us/instantgames.html#game-1424,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1424/ticket.jpg,100000.0,3.31,2,1,Available,2023-12-01,,,,,2026-06-14
1.0,HOLIDAY WISHES 1,1478,https://www.rilot.com/en-us/instantgames.html#game-1478,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1478/ticket.jpg,250.0,4.54,49,5,Available,2025-10-03,2026-04-30,,,,2026-06-14
1.0,MATCH 2 WIN,1442,https://www.rilot.com/en-us/instantgames.html#game-1442,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1442/ticket.jpg,500.0,4.74,13,0,Claimed,2024-05-03,2026-03-12,,,,2026-06-14
2.0,TIS THE SEASON 2,1479,https://www.rilot.com/en-us/instantgames.html#game-1479,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1479/ticket.jpg,500.0,3.82,36,3,Available,2025-10-03,2026-04-30,,,,2026-06-14
2.0,LUCKY NUMBERS,1441,https://www.rilot.com/en-us/instantgames.html#game-1441,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1441/ticket.jpg,5000.0,4.32,2,0,Claimed,2025-07-04,2026-02-05,,,,2026-06-14
2.0,2X CASH BLITZ,1467,https://www.rilot.com/en-us/instantgames.html#game-1467,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1467/ticket.jpg,5000.0,4.21,2,0,Claimed,2025-02-28,2025-09-23,,,,2026-06-14
2.0,RHODE ISLAND LOTERIA,1457,https://www.rilot.com/en-us/instantgames.html#game-1457,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1457/ticket.jpg,5000.0,3.96,3,0,Claimed,2024-11-01,2026-01-09,,,,2026-06-14
2.0,Unknown Game,1460,https://www.rilot.com/en-us/instantgames.html#game-1460,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1460/ticket.jpg,5000.0,4.1,2,0,Claimed,2024-08-02,2025-10-01,,,,2026-06-14
2.0,DOUBLE HEADER,1438,https://www.rilot.com/en-us/instantgames.html#game-1438,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1438/ticket.jpg,5000.0,3.86,2,0,Claimed,2024-01-10,2026-05-12,,,,2026-06-14
2.0,WILD CHERRY CROSSWORD,279,https://www.rilot.com/en-us/instantgames.html#game-279,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/279/ticket.jpg,20000.0,4.42,2,0,Claimed,2022-08-05,2025-11-07,,,,2026-06-14
3.0,RHODE ISLAND LOTERIA,294,https://www.rilot.com/en-us/instantgames.html#game-294,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/294/ticket.jpg,20000.0,3.88,2,0,Claimed,2022-09-30,2026-04-15,,,,2026-06-14
5.0,WILD MONEY,1403,https://www.rilot.com/en-us/instantgames.html#game-1403,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1403/ticket.jpg,5000.0,3.75,2,0,Claimed,2025-12-02,2026-05-06,,,,2026-06-14
5.0,HOLIDAY WINNINGS 5,1480,https://www.rilot.com/en-us/instantgames.html#game-1480,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1480/ticket.jpg,1000.0,3.49,9,2,Available,2025-10-03,2026-04-30,,,,2026-06-14
5.0,JAWS,1452,https://www.rilot.com/en-us/instantgames.html#game-1452,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1452/ticket.jpg,50000.0,4.05,2,0,Claimed,2025-05-08,2026-01-06,,,,2026-06-14
5.0,5X CASH BLITZ,1468,https://www.rilot.com/en-us/instantgames.html#game-1468,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1468/ticket.jpg,25000.0,3.97,3,0,Claimed,2025-02-28,2026-01-20,,,,2026-06-14
