gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
1410,BASEBALL,2000.0,10,5,2026-06-14
1410,BASEBALL,100.0,595,248,2026-06-14
1410,BASEBALL,50.0,8510,3560,2026-06-14
1410,BASEBALL,20.0,9854,4264,2026-06-14
1410,BASEBALL,10.0,59230,25700,2026-06-14
1410,BASEBALL,5.0,266046,118027,2026-06-14
1410,BASEBALL,2.0,345203,158617,2026-06-14
1410,BASEBALL,1.0,591517,279921,2026-06-14
1418,COUNT UP CASH,5000.0,2,2,2026-06-14
1418,COUNT UP CASH,100.0,163,149,2026-06-14
1418,COUNT UP CASH,40.0,1100,965,2026-06-14
1418,COUNT UP CASH,20.0,3412,3016,2026-06-14
1418,COUNT UP CASH,15.0,3412,3029,2026-06-14
1418,COUNT UP CASH,10.0,22214,19733,2026-06-14
1418,COUNT UP CASH,5.0,59627,52927,2026-06-14
1418,COUNT UP CASH,2.0,40966,36741,2026-06-14
1491,SAPPHIRE BLUE 2X,5000.0,2,2,2026-06-14
1491,SAPPHIRE BLUE 2X,200.0,66,32,2026-06-14
1491,SAPPHIRE BLUE 2X,100.0,520,209,2026-06-14
1491,SAPPHIRE BLUE 2X,40.0,1217,517,2026-06-14
1491,SAPPHIRE BLUE 2X,20.0,5078,2165,2026-06-14
1491,SAPPHIRE BLUE 2X,10.0,12696,5366,2026-06-14
1491,SAPPHIRE BLUE 2X,5.0,24756,10774,2026-06-14
1491,SAPPHIRE BLUE 2X,4.0,26656,11855,2026-06-14
1491,SAPPHIRE BLUE 2X,2.0,49511,22490,2026-06-14
1439,CLASSIC BINGO,25000.0,2,1,2026-06-14
1439,CLASSIC BINGO,500.0,20,13,2026-06-14
1439,CLASSIC BINGO,210.0,70,34,2026-06-14
1439,CLASSIC BINGO,100.0,185,98,2026-06-14
1439,CLASSIC BINGO,50.0,1895,993,2026-06-14
1439,CLASSIC BINGO,25.0,8059,4242,2026-06-14
1439,CLASSIC BINGO,20.0,16377,8681,2026-06-14
1439,CLASSIC BINGO,15.0,20466,10926,2026-06-14
1439,CLASSIC BINGO,10.0,40932,22445,2026-06-14
1439,CLASSIC BINGO,5.0,147336,82058,2026-06-14
1439,CLASSIC BINGO,2.0,286533,159560,2026-06-14
1434,CROSSWORD! 39,15000.0,2,1,2026-06-14
1434,CROSSWORD! 39,1000.0,20,11,2026-06-14
1434,CROSSWORD! 39,100.0,715,333,2026-06-14
1434,CROSSWORD! 39,50.0,11899,5454,2026-06-14
1434,CROSSWORD! 39,20.0,19868,9171,2026-06-14
1434,CROSSWORD! 39,10.0,39736,18732,2026-06-14
1434,CROSSWORD! 39,4.0,168903,80911,2026-06-14
1434,CROSSWORD! 39,2.0,238416,128889,2026-06-14
1484,RHODE ISLAND LOTERIA,20000.0,2,1,2026-06-14
1484,RHODE ISLAND LOTERIA,500.0,24,14,2026-06-14
1484,RHODE ISLAND LOTERIA,200.0,98,71,2026-06-14
1484,RHODE ISLAND LOTERIA,100.0,1187,849,2026-06-14
1484,RHODE ISLAND LOTERIA,70.0,1872,1351,2026-06-14
1484,RHODE ISLAND LOTERIA,50.0,6340,4515,2026-06-14
1484,RHODE ISLAND LOTERIA,20.0,12238,8788,2026-06-14
1484,RHODE ISLAND LOTERIA,15.0,12238,8776,2026-06-14
1484,RHODE ISLAND LOTERIA,10.0,36714,26427,2026-06-14
1484,RHODE ISLAND LOTERIA,8.0,36714,26511,2026-06-14
1484,RHODE ISLAND LOTERIA,5.0,73428,53395,2026-06-14
1484,RHODE ISLAND LOTERIA,3.0,134618,98471,2026-06-14
1504,SOCCER FORTUNE,10000.0,4,4,2026-06-14
1504,SOCCER FORTUNE,2500.0,12,12,2026-06-14
1504,SOCCER FORTUNE,500.0,30,29,2026-06-14
1504,SOCCER FORTUNE,250.0,180,176,2026-06-14
1504,SOCCER FORTUNE,100.0,454,439,2026-06-14
1504,SOCCER FORTUNE,50.0,2689,2569,2026-06-14
1504,SOCCER FORTUNE,25.0,4483,4275,2026-06-14
1504,SOCCER FORTUNE,15.0,17676,16935,2026-06-14
1504,SOCCER FORTUNE,10.0,27318,26221,2026-06-14
1504,SOCCER FORTUNE,5.0,27320,26276,2026-06-14
1497,RED HOT CASH,5000.0,4,4,2026-06-14
1497,RED HOT CASH,2000.0,6,4,2026-06-14
1497,RED HOT CASH,500.0,19,14,2026-06-14
1497,RED HOT CASH,200.0,174,127,2026-06-14
1497,RED HOT CASH,100.0,384,273,2026-06-14
1497,RED HOT CASH,50.0,3995,2916,2026-06-14
1497,RED HOT CASH,20.0,9569,7018,2026-06-14
1497,RED HOT CASH,10.0,27340,20193,2026-06-14
1497,RED HOT CASH,5.0,30074,22452,2026-06-14
1495,CASH BLAST,30000.0,2,2,2026-06-14
1495,CASH BLAST,1000.0,3,3,2026-06-14
1495,CASH BLAST,500.0,20,18,2026-06-14
1495,CASH BLAST,100.0,707,556,2026-06-14
1495,CASH BLAST,50.0,6815,5332,2026-06-14
1495,CASH BLAST,30.0,1453,1143,2026-06-14
1495,CASH BLAST,20.0,33208,26072,2026-06-14
1495,CASH BLAST,15.0,9086,7213,2026-06-14
1495,CASH BLAST,10.0,72504,57440,2026-06-14
1492,EMERALD GREEN 5X,25000.0,3,2,2026-06-14
1492,EMERALD GREEN 5X,5000.0,8,7,2026-06-14
1492,EMERALD GREEN 5X,500.0,47,37,2026-06-14
1492,EMERALD GREEN 5X,100.0,643,441,2026-06-14
1492,EMERALD GREEN 5X,50.0,5794,3920,2026-06-14
1492,EMERALD GREEN 5X,25.0,10976,7475,2026-06-14
1492,EMERALD GREEN 5X,20.0,16464,11208,2026-06-14
1492,EMERALD GREEN 5X,10.0,49392,33878,2026-06-14
1492,EMERALD GREEN 5X,5.0,54880,38069,2026-06-14
1502,RI 250,17760.0,3,1,2026-06-14
1502,RI 250,1776.0,13,8,2026-06-14
1502,RI 250,250.0,250,96,2026-06-14
1502,RI 250,100.0,2148,846,2026-06-14
1502,RI 250,50.0,6197,2427,2026-06-14
1502,RI 250,25.0,22612,8939,2026-06-14
1502,RI 250,10.0,56530,22785,2026-06-14
1502,RI 250,5.0,66443,27458,2026-06-14
1500,BOSTON CELTICS,35000.0,2,1,2026-06-14
1500,BOSTON CELTICS,1000.0,13,7,2026-06-14
1500,BOSTON CELTICS,300.0,228,109,2026-06-14
1500,BOSTON CELTICS,100.0,3575,1812,2026-06-14
1500,BOSTON CELTICS,50.0,7575,3892,2026-06-14
1500,BOSTON CELTICS,30.0,13249,6854,2026-06-14
1500,BOSTON CELTICS,15.0,15150,7996,2026-06-14
1500,BOSTON CELTICS,10.0,60600,31815,2026-06-14
1500,BOSTON CELTICS,5.0,90929,49143,2026-06-14
1453,WHEEL OF FORTUNE 5,30000.0,2,1,2026-06-14
1453,WHEEL OF FORTUNE 5,500.0,182,88,2026-06-14
1453,WHEEL OF FORTUNE 5,250.0,861,430,2026-06-14
1453,WHEEL OF FORTUNE 5,100.0,3009,1430,2026-06-14
1453,WHEEL OF FORTUNE 5,50.0,4941,2396,2026-06-14
1453,WHEEL OF FORTUNE 5,25.0,5968,2976,2026-06-14
1453,WHEEL OF FORTUNE 5,20.0,8943,4386,2026-06-14
1453,WHEEL OF FORTUNE 5,10.0,44781,22350,2026-06-14
1453,WHEEL OF FORTUNE 5,5.0,68629,34853,2026-06-14
1451,5X MULTIPLIER,30000.0,2,1,2026-06-14
1451,5X MULTIPLIER,2500.0,4,2,2026-06-14
1451,5X MULTIPLIER,500.0,20,8,2026-06-14
1451,5X MULTIPLIER,100.0,637,241,2026-06-14
1451,5X MULTIPLIER,50.0,3054,1182,2026-06-14
1451,5X MULTIPLIER,25.0,12042,4691,2026-06-14
1451,5X MULTIPLIER,20.0,16558,6594,2026-06-14
1451,5X MULTIPLIER,15.0,31610,12279,2026-06-14
1451,5X MULTIPLIER,10.0,42147,17551,2026-06-14
1451,5X MULTIPLIER,5.0,45157,19158,2026-06-14
1436,CASH MONEY,30000.0,2,1,2026-06-14
1436,CASH MONEY,1000.0,3,1,2026-06-14
1436,CASH MONEY,500.0,16,4,2026-06-14
1436,CASH MONEY,100.0,647,112,2026-06-14
1436,CASH MONEY,50.0,7086,1014,2026-06-14
1436,CASH MONEY,30.0,861,143,2026-06-14
1436,CASH MONEY,20.0,32076,5145,2026-06-14
1436,CASH MONEY,15.0,8727,1534,2026-06-14
1436,CASH MONEY,10.0,69948,12694,2026-06-14
1458,24 KARAT LINKED WINS,10000.0,4,1,2026-06-14
1458,24 KARAT LINKED WINS,2000.0,6,3,2026-06-14
1458,24 KARAT LINKED WINS,500.0,40,8,2026-06-14
1458,24 KARAT LINKED WINS,200.0,214,48,2026-06-14
1458,24 KARAT LINKED WINS,100.0,507,98,2026-06-14
1458,24 KARAT LINKED WINS,50.0,1624,341,2026-06-14
1458,24 KARAT LINKED WINS,25.0,14667,3013,2026-06-14
1458,24 KARAT LINKED WINS,20.0,19556,4386,2026-06-14
1458,24 KARAT LINKED WINS,10.0,48890,10926,2026-06-14
1458,24 KARAT LINKED WINS,5.0,34223,8181,2026-06-14
1449,LUCKY BREAK,30000.0,2,1,2026-06-14
1449,LUCKY BREAK,500.0,18,1,2026-06-14
1449,LUCKY BREAK,200.0,410,63,2026-06-14
1449,LUCKY BREAK,100.0,919,169,2026-06-14
1449,LUCKY BREAK,50.0,6023,1075,2026-06-14
1449,LUCKY BREAK,20.0,19577,3741,2026-06-14
1449,LUCKY BREAK,15.0,30113,5859,2026-06-14
1449,LUCKY BREAK,10.0,33124,6818,2026-06-14
1449,LUCKY BREAK,5.0,66255,15120,2026-06-14
1461,Unknown Game,30000.0,2,1,2026-06-14
1461,Unknown Game,5000.0,6,1,2026-06-14
1461,Unknown Game,500.0,101,15,2026-06-14
1461,Unknown Game,100.0,1483,212,2026-06-14
1461,Unknown Game,50.0,11520,1638,2026-06-14
1461,Unknown Game,20.0,34551,5260,2026-06-14
1461,Unknown Game,10.0,65329,11132,2026-06-14
1461,Unknown Game,5.0,80637,15446,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,40000.0,4,2,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,500.0,60,20,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,200.0,123,46,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,100.0,1810,597,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,50.0,38249,12552,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,30.0,16189,5339,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,20.0,78962,25901,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,15.0,42485,14113,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,10.0,182126,60883,2026-06-14
1446,RHODE ISLAND SUPER LOTERIA,5.0,285360,98918,2026-06-14
1433,10 YEARS OF CASH,120.0,2,1,2026-06-14
1433,10 YEARS OF CASH,5000.0,6,2,2026-06-14
1433,10 YEARS OF CASH,500.0,99,21,2026-06-14
1433,10 YEARS OF CASH,100.0,1935,311,2026-06-14
1433,10 YEARS OF CASH,50.0,15720,2490,2026-06-14
1433,10 YEARS OF CASH,20.0,71775,12228,2026-06-14
1433,10 YEARS OF CASH,10.0,129890,23524,2026-06-14
1433,10 YEARS OF CASH,5.0,136720,26938,2026-06-14
1425,50X THE MONEY,40000.0,6,3,2026-06-14
1425,50X THE MONEY,1000.0,54,29,2026-06-14
1425,50X THE MONEY,500.0,423,216,2026-06-14
1425,50X THE MONEY,100.0,14864,7391,2026-06-14
1425,50X THE MONEY,50.0,75183,37460,2026-06-14
1425,50X THE MONEY,20.0,153394,76786,2026-06-14
1425,50X THE MONEY,10.0,361147,183012,2026-06-14
1425,50X THE MONEY,5.0,586730,305632,2026-06-14
1417,SUPER CROSSWORD,50000.0,5,2,2026-06-14
1417,SUPER CROSSWORD,5000.0,7,2,2026-06-14
1417,SUPER CROSSWORD,500.0,75,23,2026-06-14
1417,SUPER CROSSWORD,100.0,1793,500,2026-06-14
1417,SUPER CROSSWORD,50.0,11930,3298,2026-06-14
1417,SUPER CROSSWORD,25.0,40237,11310,2026-06-14
1417,SUPER CROSSWORD,20.0,40233,11203,2026-06-14
1417,SUPER CROSSWORD,15.0,71524,20204,2026-06-14
1417,SUPER CROSSWORD,10.0,125154,36729,2026-06-14
1417,SUPER CROSSWORD,5.0,178812,56906,2026-06-14
1455,THUNDER STRUCK,50000.0,2,2,2026-06-14
1455,THUNDER STRUCK,500.0,64,64,2026-06-14
1455,THUNDER STRUCK,250.0,147,142,2026-06-14
1455,THUNDER STRUCK,150.0,534,523,2026-06-14
1455,THUNDER STRUCK,100.0,1922,1858,2026-06-14
1455,THUNDER STRUCK,50.0,7114,6889,2026-06-14
1455,THUNDER STRUCK,30.0,8130,7906,2026-06-14
1455,THUNDER STRUCK,20.0,20320,19689,2026-06-14
1455,THUNDER STRUCK,10.0,26416,25601,2026-06-14
1477,100X THE MONEY,75000.0,2,2,2026-06-14
1477,100X THE MONEY,5000.0,2,2,2026-06-14
1477,100X THE MONEY,2000.0,6,5,2026-06-14
1477,100X THE MONEY,1000.0,15,10,2026-06-14
1477,100X THE MONEY,500.0,51,43,2026-06-14
1477,100X THE MONEY,200.0,434,317,2026-06-14
1477,100X THE MONEY,100.0,5417,3950,2026-06-14
1477,100X THE MONEY,50.0,14257,10415,2026-06-14
1477,100X THE MONEY,30.0,17115,12526,2026-06-14
1477,100X THE MONEY,20.0,21381,15709,2026-06-14
1477,100X THE MONEY,10.0,49889,36956,2026-06-14
1493,RUBY RED 10X,50000.0,2,1,2026-06-14
1493,RUBY RED 10X,2000.0,6,4,2026-06-14
1493,RUBY RED 10X,1000.0,22,17,2026-06-14
1493,RUBY RED 10X,500.0,90,62,2026-06-14
1493,RUBY RED 10X,200.0,430,288,2026-06-14
1493,RUBY RED 10X,100.0,4508,2937,2026-06-14
1493,RUBY RED 10X,50.0,11452,7467,2026-06-14
1493,RUBY RED 10X,30.0,13142,8570,2026-06-14
1493,RUBY RED 10X,20.0,32855,21557,2026-06-14
1493,RUBY RED 10X,10.0,42712,28315,2026-06-14
1487,MEGA CASH,50000.0,2,2,2026-06-14
1487,MEGA CASH,5000.0,4,2,2026-06-14
1487,MEGA CASH,500.0,154,107,2026-06-14
1487,MEGA CASH,200.0,1026,643,2026-06-14
1487,MEGA CASH,100.0,3252,2048,2026-06-14
1487,MEGA CASH,50.0,17086,10849,2026-06-14
1487,MEGA CASH,20.0,36133,22997,2026-06-14
1487,MEGA CASH,10.0,46011,29642,2026-06-14
1454,WHEEL OF FORTUNE 10,50000.0,2,1,2026-06-14
1454,WHEEL OF FORTUNE 10,5000.0,4,2,2026-06-14
1454,WHEEL OF FORTUNE 10,500.0,132,55,2026-06-14
