price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
10.0,"$100, $200 or $300!",1660,https://www.sceducationlottery.com/Games/InstantGame?gameId=1660,https://www.sceducationlottery.com/images/games/instantgames/1660.jpg,300,14.88,6772,3445,Available,02/03/2026,--,--,,,2026-04-02
5.0,"$200,000 Extra Play",1659,https://www.sceducationlottery.com/Games/InstantGame?gameId=1659,https://www.sceducationlottery.com/images/games/instantgames/1659.png,200000,3.95,4,2,Available,02/03/2026,--,--,,,2026-04-02
10.0,100X,1664,https://www.sceducationlottery.com/Games/InstantGame?gameId=1664,https://www.sceducationlottery.com/images/games/instantgames/1664.jpg,500000,3.49,5,2,Available,03/03/2026,--,--,,,2026-04-02
1.0,10X,1661,https://www.sceducationlottery.com/Games/InstantGame?gameId=1661,https://www.sceducationlottery.com/images/games/instantgames/1661.jpg,5000,4.92,4,2,Available,03/03/2026,--,--,,,2026-04-02
20.0,200X,1665,https://www.sceducationlottery.com/Games/InstantGame?gameId=1665,https://www.sceducationlottery.com/images/games/instantgames/1665.jpg,2000000,4.38,6,3,Available,01/06/2026,--,--,,,2026-04-02
2.0,20X,1662,https://www.sceducationlottery.com/Games/InstantGame?gameId=1662,https://www.sceducationlottery.com/images/games/instantgames/1662.jpg,30000,4.49,4,3,Available,03/03/2026,--,--,,,2026-04-02
1.0,3 Times Lucky,1571,https://www.sceducationlottery.com/Games/InstantGame?gameId=1571,https://www.sceducationlottery.com/images/games/instantgames/1571.jpg,9000,4.92,14,0,Claimed,01/27/2025,03/04/2026,08/18/2026,,,2026-04-02
1.0,5 Star Wins,1616,https://www.sceducationlottery.com/Games/InstantGame?gameId=1616,https://www.sceducationlottery.com/images/games/instantgames/1616.jpg,5000,4.84,4,1,Available,08/05/2025,04/15/2026,07/14/2026,,,2026-04-02
5.0,50X,1663,https://www.sceducationlottery.com/Games/InstantGame?gameId=1663,https://www.sceducationlottery.com/images/games/instantgames/1663.jpg,200000,3.99,4,2,Available,03/03/2026,--,--,,,2026-04-02
3.0,Bingo,1652,https://www.sceducationlottery.com/Games/InstantGame?gameId=1652,https://www.sceducationlottery.com/images/games/instantgames/1652.jpg,75000,4.06,5,1,Available,10/27/2025,06/24/2026,09/22/2026,,,2026-04-02
5.0,Carolina Jackpot,1631,https://www.sceducationlottery.com/Games/InstantGame?gameId=1631,https://www.sceducationlottery.com/images/games/instantgames/1631.jpg,200000,3.98,3,0,Claimed,08/05/2025,01/21/2026,04/21/2026,,,2026-04-02
5.0,Clemson Jackpot,1632,https://www.sceducationlottery.com/Games/InstantGame?gameId=1632,https://www.sceducationlottery.com/images/games/instantgames/1632.jpg,200000,3.98,3,1,Available,08/05/2025,01/21/2026,04/21/2026,,,2026-04-02
2.0,Corner Payout,1620,https://www.sceducationlottery.com/Games/InstantGame?gameId=1620,https://www.sceducationlottery.com/images/games/instantgames/1620.jpg,30000,4.43,4,2,Available,06/03/2025,05/13/2026,08/11/2026,,,2026-04-02
20.0,Double Up!,1641,https://www.sceducationlottery.com/Games/InstantGame?gameId=1641,https://www.sceducationlottery.com/images/games/instantgames/1641.jpg,2000000,4.57,4,1,Available,09/02/2025,02/11/2026,05/12/2026,,,2026-04-02
2.0,Elf,1643,https://www.sceducationlottery.com/Games/InstantGame?gameId=1643,https://www.sceducationlottery.com/images/games/instantgames/1643.jpg,30000,4.42,3,0,Claimed,11/04/2025,03/05/2026,06/16/2026,,,2026-04-02
10.0,Feeling Lucky?,1621,https://www.sceducationlottery.com/Games/InstantGame?gameId=1621,https://www.sceducationlottery.com/images/games/instantgames/1621.jpg,500000,3.51,4,0,Claimed,09/02/2025,01/21/2026,07/14/2026,,,2026-04-02
10.0,Frosty Fortunes,1645,https://www.sceducationlottery.com/Games/InstantGame?gameId=1645,https://www.sceducationlottery.com/images/games/instantgames/1645.jpg,500000,3.56,4,2,Available,11/04/2025,--,--,,,2026-04-02
5.0,Giant Jumbo Bucks,1578,https://www.sceducationlottery.com/Games/InstantGame?gameId=1578,https://www.sceducationlottery.com/images/games/instantgames/1578.jpg,250000,3.97,6,2,Available,08/18/2025,--,--,,,2026-04-02
2.0,Hit $100,1613,https://www.sceducationlottery.com/Games/InstantGame?gameId=1613,https://www.sceducationlottery.com/images/games/instantgames/1613.jpg,100,5.12,24354,7870,Available,04/21/2025,--,--,,,2026-04-02
5.0,Hit $250,1614,https://www.sceducationlottery.com/Games/InstantGame?gameId=1614,https://www.sceducationlottery.com/images/games/instantgames/1614.jpg,250,4.79,30876,1488,Available,03/31/2025,07/01/2026,09/29/2026,,,2026-04-02
5.0,Hit $250,1671,https://www.sceducationlottery.com/Games/InstantGame?gameId=1671,https://www.sceducationlottery.com/images/games/instantgames/1671.jpg,250,4.79,31135,31124,Available,03/30/2026,--,--,,,2026-04-02
1.0,Hit $50,1606,https://www.sceducationlottery.com/Games/InstantGame?gameId=1606,https://www.sceducationlottery.com/images/games/instantgames/1606.jpg,50,5.62,18478,1052,Available,01/13/2025,01/14/2026,04/14/2026,,,2026-04-02
1.0,Hit $50,1640,https://www.sceducationlottery.com/Games/InstantGame?gameId=1640,https://www.sceducationlottery.com/images/games/instantgames/1640.jpg,50,5.62,18837,1818,Available,10/13/2025,06/10/2026,09/08/2026,,,2026-04-02
1.0,Hit $50,1685,https://www.sceducationlottery.com/Games/InstantGame?gameId=1685,https://www.sceducationlottery.com/images/games/instantgames/1685.jpg,50,5.62,18851,18653,Available,03/16/2026,--,--,,,2026-04-02
10.0,Hit $500,1639,https://www.sceducationlottery.com/Games/InstantGame?gameId=1639,https://www.sceducationlottery.com/images/games/instantgames/1639.jpg,500,4.45,70113,674,Available,09/02/2025,06/10/2026,09/08/2026,,,2026-04-02
10.0,Hit $500,1684,https://www.sceducationlottery.com/Games/InstantGame?gameId=1684,https://www.sceducationlottery.com/images/games/instantgames/1684.jpg,500,4.45,70213,66412,Available,03/09/2026,--,--,,,2026-04-02
5.0,Holly Jolly Jackpot,1644,https://www.sceducationlottery.com/Games/InstantGame?gameId=1644,https://www.sceducationlottery.com/images/games/instantgames/1644.jpg,200000,3.96,3,1,Available,11/04/2025,03/25/2026,06/23/2026,,,2026-04-02
