,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1554,Mighty Jumbo Bucks,375000,8.0,0.0,0.0,0.0,0.38157114838171363,0.0,2026-03-29
1,1554,Mighty Jumbo Bucks,10000,30.0,3.0,7.406145619635174e-06,0.1,0.03811997425598001,0.07398739474015538,2026-03-29
2,1554,Mighty Jumbo Bucks,1000,656.0,31.0,7.653017140289679e-05,0.04725609756097561,0.08260472499433988,0.07576486968886782,2026-03-29
3,1554,Mighty Jumbo Bucks,500,4733.0,159.0,0.0003925257178406642,0.033593915064441156,0.2949839863037743,0.19233760174192546,2026-03-29
4,1554,Mighty Jumbo Bucks,200,27177.0,1177.0,0.002905677798103533,0.04330868013393679,0.6567815904818355,0.5520787816396713,2026-03-29
5,1554,Mighty Jumbo Bucks,150,19995.0,747.0,0.001844130259289158,0.03735933983495874,0.35605353331586537,0.25817823630048214,2026-03-29
6,1554,Mighty Jumbo Bucks,100,124498.0,6372.0,0.015730653296105106,0.051181545085061605,1.4251833498261262,1.4157587966494596,2026-03-29
7,1554,Mighty Jumbo Bucks,50,141488.0,5338.0,0.013178001772537518,0.03772758113762298,0.7198557113820621,0.5271200709015007,2026-03-29
8,1554,Mighty Jumbo Bucks,20,262269.0,10934.0,0.026992932068363663,0.04169002055141858,0.3335898407788329,0.2699293206836366,2026-03-29
9,1554,Mighty Jumbo Bucks,15,734594.0,39051.0,0.09640579753079105,0.05315997680351323,0.4671789183950181,0.48202898765395524,2026-03-29
10,1554,Mighty Jumbo Bucks,10,996911.0,55326.0,0.13658413751731185,0.05549743156610771,0.0,0.0,2026-03-29
11,1554,Mighty Jumbo Bucks,0,5549661.6,285931.2,0.7058827014656762,0.05152227660151387,-7.058824068114809,-7.058827014656762,2026-03-29
12,1554,Mighty Jumbo Bucks,Total,7862020.6,405069.2,1.0000004937430413,0.05152227660151387,,,2026-03-29
0,1571,3 Times Lucky,9000,14.0,0.0,0.0,0.0,0.020856458017658112,0.0,2026-03-29
1,1571,3 Times Lucky,300,50.0,7.0,7.119660127767386e-06,0.14,0.002474910286571435,0.0021287783782024485,2026-03-29
2,1571,3 Times Lucky,100,126.0,14.0,1.4239320255534772e-05,0.1111111111111111,0.0020650187902804063,0.0014096927052979424,2026-03-29
3,1571,3 Times Lucky,30,11332.0,1416.0,0.0014402055344169456,0.12495587716201906,0.054402997836481434,0.04176596049809142,2026-03-29
4,1571,3 Times Lucky,15,32181.0,4171.0,0.004242300341845396,0.12961063981852647,0.07458402883278761,0.05939220478583554,2026-03-29
5,1571,3 Times Lucky,10,48437.0,6329.0,0.0064371898498056844,0.1306645746020604,0.07216689404387593,0.05793470864825116,2026-03-29
6,1571,3 Times Lucky,5,128885.0,17693.0,0.017995449520084052,0.1372774178531249,0.08534550161465133,0.07198179808033621,2026-03-29
7,1571,3 Times Lucky,3,302113.0,47008.0,0.0478115690408699,0.15559740891653123,0.10002709985377337,0.0956231380817398,2026-03-29
8,1571,3 Times Lucky,1,704631.0,123198.0,0.12530398406009807,0.1748404484049098,0.0,0.0,2026-03-29
9,1571,3 Times Lucky,0,4812854.4799999995,783357.12,0.7967480647238131,0.16276351658984714,-0.7967480307908638,-0.7967480647238131,2026-03-29
10,1571,3 Times Lucky,Total,6040623.4799999995,983193.12,1.0000001220513164,0.1627635165898471,,,2026-03-29
0,1578,Giant Jumbo Bucks,250000,6.0,2.0,6.878787847520662e-07,0.3333333333333333,0.25206478799582976,0.17196625679409278,2026-03-29
1,1578,Giant Jumbo Bucks,1000,50.0,21.0,7.222727239896694e-06,0.42,0.00836031600818185,0.007186613603697211,2026-03-29
2,1578,Giant Jumbo Bucks,500,399.0,187.0,6.431666637431818e-05,0.46867167919799496,0.03319003443609963,0.0318367498552875,2026-03-29
3,1578,Giant Jumbo Bucks,250,602.0,284.0,9.767878743479339e-05,0.4717607973421927,0.024785186091391784,0.02393130292152438,2026-03-29
4,1578,Giant Jumbo Bucks,100,18738.0,8847.0,0.0030428318043507646,0.47214217098943323,0.29914134933315767,0.28906902141332264,2026-03-29
5,1578,Giant Jumbo Bucks,50,112186.0,53891.0,0.018535237794536797,0.4803718824095698,0.8483611764065329,0.8340857007541559,2026-03-29
6,1578,Giant Jumbo Bucks,25,118885.0,56731.0,0.01951202566888473,0.47719224460613197,0.39956428889756757,0.3902405133776946,2026-03-29
7,1578,Giant Jumbo Bucks,10,534812.0,258560.0,0.08892896929274711,0.48345960823616524,0.44936656532339214,0.4446448464637356,2026-03-29
8,1578,Giant Jumbo Bucks,5,713247.0,353842.0,0.1217002024771203,0.49610022895294337,0.0,0.0,2026-03-29
9,1578,Giant Jumbo Bucks,0,4451807.25,2175124.0500000003,0.7481108440994962,0.48859349200260194,-3.7405543133180923,-3.740554220497481,2026-03-29
10,1578,Giant Jumbo Bucks,Total,5950732.25,2907489.0500000003,1.0000000171969696,0.48859349200260194,,,2026-03-29
0,1582,Octane Cash,200000,4.0,1.0,1.2161337163343783e-06,0.25,0.2539617435163533,0.243220662598294,2026-03-29
1,1582,Octane Cash,1000,181.0,42.0,5.1077616086043895e-05,0.23204419889502761,0.057172979572711384,0.05082222800561367,2026-03-29
2,1582,Octane Cash,500,833.0,211.0,0.00025660421414655385,0.2533013205282113,0.13089991688894165,0.12701908600254416,2026-03-29
3,1582,Octane Cash,250,578.0,139.0,0.0001690425865704786,0.24048442906574394,0.044955527012363806,0.04141543370976726,2026-03-29
4,1582,Octane Cash,100,11287.0,2780.0,0.003380851731409572,0.24630105431026844,0.3404013711737326,0.32118091448390934,2026-03-29
5,1582,Octane Cash,50,19784.0,4906.0,0.00596635201233646,0.24797816417306914,0.28262839198197337,0.2684858405551407,2026-03-29
6,1582,Octane Cash,30,21582.0,5356.0,0.006513612184686931,0.2481697711055509,0.17128560553294886,0.16284030461717328,2026-03-29
7,1582,Octane Cash,25,10524.0,2629.0,0.003197215540243081,0.24980995819080198,0.06681900519428242,0.06394431080486163,2026-03-29
8,1582,Octane Cash,20,39374.0,9915.0,0.012057965797455363,0.2518159191344542,0.18749511905071808,0.18086948696183044,2026-03-29
9,1582,Octane Cash,15,104912.0,26559.0,0.03229929537212475,0.25315502516394695,0.33305375679126553,0.32299295372124753,2026-03-29
10,1582,Octane Cash,10,249309.0,63880.0,0.0776866217994401,0.2562282147856676,0.3957283201724951,0.38843310899720046,2026-03-29
11,1582,Octane Cash,5,341125.0,92282.0,0.1122272516107691,0.27052253572737267,0.0,0.0,2026-03-29
12,1582,Octane Cash,0,2350509.42,613578.0,0.7461928934010152,0.26104043437528535,-3.7309649644666893,-3.730964467005076,2026-03-29
13,1582,Octane Cash,Total,3150002.42,822278.0,1.0,0.26104043437528535,,,2026-03-29
0,1606,Hit $50,50,18478.0,1052.0,0.002989519630800009,0.05693256845979002,0.2573732196226535,0.14648646190920045,2026-03-29
1,1606,Hit $50,20,3999.0,232.0,0.0006592856980471503,0.058014503625906474,0.02159818802740472,0.012526428262895855,2026-03-29
2,1606,Hit $50,10,17582.0,1080.0,0.0030690885943574237,0.061426458878398364,0.04498037768758595,0.02762179734921681,2026-03-29
3,1606,Hit $50,5,35147.0,2479.0,0.007044695023529679,0.07053233561897175,0.03996322841758828,0.028178780094118717,2026-03-29
4,1606,Hit $50,4,35164.0,2642.0,0.007507900061381772,0.07513365942441133,0.029986918458390632,0.022523700184145314,2026-03-29
5,1606,Hit $50,2,187479.0,17360.0,0.04933275740559711,0.09259703753487057,0.05329235852633961,0.04933275740559711,2026-03-29
6,1606,Hit $50,1,328118.0,37770.0,0.10733284834155546,0.11511102713048355,0.0,0.0,2026-03-29
7,1606,Hit $50,0,2891967.54,289281.3,0.822064757769341,0.10002923476796699,-0.8220641831256641,-0.822064757769341,2026-03-29
8,1606,Hit $50,Total,3517934.54,351896.3,1.0000008525246096,0.10002923476796699,,,2026-03-29
0,1607,MAGIC 8 BALL™,30000,4.0,1.0,9.694469111482517e-07,0.25,0.038132586308535436,0.029081468440625254,2026-03-29
1,1607,MAGIC 8 BALL™,200,265.0,83.0,8.046409362530489e-05,0.3132075471698113,0.01667458500240728,0.01593189053781037,2026-03-29
2,1607,MAGIC 8 BALL™,100,2082.0,640.0,0.0006204460231348811,0.30739673390970224,0.06484115924435242,0.06080371026721835,2026-03-29
