,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,20,2514,"$1,000,000",3.41,,,,12/04/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700663.html,"$1,000,000 Cash Blast
",2405068,1561236,4,4.0,8201281.88,5323814.76,5796213.88,3762578.76,2050320.47,2050320.47,0.0,3.41,-1.427547791283904e-07,5.78,5.765890103833085,0.0016435844334425239,0.29325517382838695,0.2932551634311762,-1.0397210759016673e-08,0.1731491746330732,0.17343375992116353,0.00028458528809033323,0.041206728040904764,0.027670328703864388,8.089251975992804,12.046440822487595,7.0,0.44,0.0014332280066034944,0.4435174669888918,0.0014332280066034944,0.68,0.6838092481900195,0.9999999344030417,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2514_img1.gif,,,,"May 24, 2024",172,33.0,35.333333333333336,51.0,46.0,37.5,40.56666666666667,38.0,4.0,/texas-statistics-for-each-scratcher-game
1,20,2583,"$1,000,000",3.41,,,,05/20/24,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700447.html,"$1,000,000 Crossword
",4489076,4457426,6,6.0,15307749.16,15199822.66,10818673.16,10742396.66,2551291.526666667,2551291.526666667,0.0,3.41,-4.342155921234504e-08,6.25,6.250481921364643,0.0001250314265025573,0.293255144698405,0.2932551350299773,-9.668427725095796e-09,0.15996766277920887,0.15998766376428042,2.0000985071544353e-05,0.042743506990943377,0.02354271880281968,7.798441766236191,14.158576803116889,7.0,0.46,3.507265785692476e-06,0.4560410970602155,3.507265785692476e-06,0.99,0.9888570915382715,0.999995356786793,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2583_img1.gif,,,,"May 24, 2024",4,30.333333333333332,40.0,56.0,50.666666666666664,43.5,44.1,55.0,9.0,/texas-statistics-for-each-scratcher-game
2,20,2513,"$1,000,000",3.41,,,,10/16/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700664.html,"$1,000,000 Crossword
",2979815,659471,4,1.0,10161169.15,2248796.11,7181354.15,1589325.1099999999,2540292.2875,2540292.2875,0.0,3.41,-4.8915061509263446e-08,6.41,6.252303733475758,0.02564370234357607,0.2932551463094029,0.2932551362938654,-1.001553751045492e-08,0.15594211302403596,0.15994104615325264,0.003998933129216675,0.04369407991769264,0.022982463228861286,7.628710296374753,14.503212483938437,8.0,0.45,-0.0009315071552833679,0.44822851872735453,-0.0009315071552833679,0.22,0.21536485064539446,0.9999999902932927,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2513_img1.gif,,,,"May 24, 2024",221,30.0,41.333333333333336,54.0,24.666666666666668,50.666666666666664,40.13333333333333,37.0,3.0,/texas-statistics-for-each-scratcher-game
3,50,2423,"$1,000,000",3.49,,,,08/01/22,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701594.html,"$1,000,000 Diamond Riches
",1894429,314255,4,1.0,6611557.21,1096749.95,4717128.21,782494.95,1652889.3025,1652889.3025,0.0,3.49,-8.661956173658622e-07,3.49,3.4899998891486566,-8.344330812163442e-07,0.2865331994831999,0.28653296039041937,-2.390927805184795e-07,0.2865331994831999,0.28653296039041937,-2.390927805184795e-07,0.039730919713585784,0.039730919713585784,8.389547406949818,8.389547406949818,4.0,0.5,0.00018414795882705544,0.49832778511765224,0.00018414795882705544,0.18,0.17743754090944497,0.9999998340532598,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2423_img1.gif,,,,"May 24, 2024",662,35.666666666666664,29.0,73.0,7.333333333333333,31.5,35.3,21.0,1.0,/texas-statistics-for-each-scratcher-game
4,20,2490,"$1,000,000",3.98,,,,10/02/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701380.html,"$1,000,000 Gold Rush
",2059856,1061401,4,2.0,8198226.88,4224375.9799999995,6138370.88,3162974.9799999995,2049556.72,2049556.72,0.0,3.98,-2.3198692648626994e-07,6.45,6.434957543637668,0.0025639555282258933,0.2512563396952212,0.2512563083769586,-3.1318262594393076e-08,0.15500375795235982,0.15540118069445755,0.000397422742097725,0.03752722017626802,0.029308517507620827,8.882367046036512,11.373060531251154,8.0,0.5,-0.00021045293070706423,0.4956818464269862,-0.00021045293070706423,0.51,0.5103736519765725,0.9999998674952124,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2490_img1.gif,,,,"May 24, 2024",235,40.0,33.333333333333336,72.0,33.333333333333336,39.333333333333336,43.60000000000001,50.0,7.0,/texas-statistics-for-each-scratcher-game
5,20,2522,"$1,000,000",3.40,,,,09/05/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700634.html,"$1,000,000 Winnings
",2696240,1608548,4,2.0,9167216.0,5469063.2,6470976.0,3860515.2,2291804.0,2291804.0,0.0,3.4,-3.656933422746533e-08,5.16,5.154357767086093,0.0016096161092243747,0.29411765781451044,0.29411764705882354,-1.0755686896679606e-08,0.19369881092976987,0.19401059165618,0.000311780726410138,0.03917171817201266,0.032030421347061945,8.509495766279365,10.406671057449422,6.0,0.43,-0.0006120883596949877,0.4280511122289138,-0.0006120883596949877,0.59,0.5836430541864455,0.9999999459189493,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2522_img1.gif,,,,"May 24, 2024",262,37.666666666666664,31.666666666666668,40.0,46.333333333333336,40.166666666666664,39.166666666666664,34.0,2.0,/texas-statistics-for-each-scratcher-game
6,5,2562,"$100,000",4.35,,,,04/15/24,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700510.html,"$100,000 Money Mania
",1685844,1151185,7,5.0,7333421.399999999,5007654.75,5647577.399999999,3856469.75,1047631.6285714285,1047631.6285714285,0.0,4.35,-1.4977070842784695e-07,8.49,8.415329410306667,0.009149787505572745,0.22988509190131745,0.22988507001029942,-2.1891018026076736e-08,0.1177533431822566,0.11883076125044505,0.0010774180681884515,0.03694787011435338,0.022349804542263856,9.021649151160592,14.913996315820974,10.0,0.45,-0.0021815993869774503,0.4461290656263392,-0.0021815993869774503,0.69,0.6849245172636257,0.999999794967219,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2562_img1.gif,,,,"May 24, 2024",39,42.333333333333336,42.666666666666664,52.0,39.666666666666664,38.166666666666664,42.96666666666666,44.5,14.0,/texas-statistics-for-each-scratcher-game
7,100,2400,"$20,000,000",3.49,,,,05/16/22,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701659.html,"$20 Million Supreme
",2975959,923988,4,1.0,10386096.91,3224718.12,7410137.91,2300730.12,2596524.2275,2596524.2275,0.0,3.49,-3.721255497315428e-08,3.49,3.4899996942162175,5.040457916783657e-08,0.2865329619520218,0.28653297639459524,1.444257341498556e-08,0.2865329619520218,0.28653297639459524,1.444257341498556e-08,0.04723292646250158,0.04723292646250158,7.0571699106620285,7.0571699106620285,4.0,0.5,-0.00031536601308123193,0.49560581731487835,-0.00031536601308123193,0.3,0.3025789427752702,1.0000000226968255,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2400_img1.gif,,,,"May 24, 2024",739,28.333333333333332,27.333333333333332,71.0,34.666666666666664,53.5,42.96666666666666,44.5,1.0,/texas-statistics-for-each-scratcher-game
8,5,2480,"$100,000",4.10,,,,12/18/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701411.html,"$20,000,000 Ca$h Spectacular!
",1748738,751022,6,2.0,7169825.8,3079190.1999999997,5421087.8,2328168.1999999997,1194970.9666666666,1194970.9666666666,0.0,4.1,-6.495214209297313e-08,7.83,7.658024032042723,0.0226062968851486,0.24390245486637718,0.24390246623871573,1.1372338543091942e-08,0.12769527050945217,0.1305819877054182,0.002886717195966032,0.038810529962989906,0.02434906226211728,8.588636168432211,13.689304526254796,10.0,0.42,-0.008828334940470077,0.41699050724378817,-0.008828334940470077,0.42,0.41540193992658603,1.0000000350977556,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2480_img1.gif,,,,"May 24, 2024",158,38.666666666666664,37.666666666666664,29.0,42.666666666666664,46.0,38.8,30.0,9.0,/texas-statistics-for-each-scratcher-game
9,5,2520,"$200,000",4.29,,,,09/05/23,,,"May 24, 2024",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700636.html,"$200,000 Winnings
",2844084,778365,6,2.0,12201120.36,3339185.85,9357036.36,2560820.85,2033520.0599999998,2033520.0599999998,0.0,4.29,-2.5455306715123045e-07,7.8,7.517675698756185,0.03781082993870226,0.2331002924366275,0.23310023997796925,-5.2458658250653656e-08,0.1281734914357845,0.13301983752311264,0.004846346087328146,0.036116156288262806,0.02433767722533768,9.229370318716487,13.695746872350593,10.0,0.4,-0.008590078018213718,0.40472540455230843,-0.008590078018213718,0.28,0.2742624589893302,0.9999999152018498,https://www.texaslottery.com/export/sites/lottery/Images/scratchoffs/2520_img1.gif,,,,"May 24, 2024",262,44.333333333333336,38.0,17.0,17.0,26.333333333333332,28.53333333333334,10.0,3.0,/texas-statistics-for-each-scratcher-game
