,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,20,"$1,000,000 Cash Blowout",2442,"$1,000,000",3.42,4,2.0,,,,09/06/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701533.html
1,20,"$1,000,000 Crossword",2438,"$1,000,000",3.41,8,1.0,,,,06/06/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701558.html
2,50,"$1,000,000 Diamond Riches",2423,"$1,000,000",3.49,4,1.0,,,,08/01/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701594.html
3,50,"$1,000,000 Ultimate",2358,"$1,000,000",3.62,4,1.0,,,,12/20/21,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252702457.html
4,20,"$1,000,000 Winnings",2522,"$1,000,000",3.40,4,4.0,,,,09/05/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700634.html
5,2,$100 Frenzy,2210,"$30,000",4.71,5,3.0,,,,07/31/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252703550.html
6,5,"$100,000 Jackpot",2478,"$100,000",4.35,6,5.0,,,,07/17/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701434.html
7,20,"$100,000,000 Riches!",2460,"$1,000,000",3.66,4,3.0,,,,12/19/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701473.html
8,100,$20 Million Supreme,2400,"$20,000,000",3.49,4,1.0,,,,05/16/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701659.html
9,5,"$200,000 Colossal Cash",2477,"$200,000",3.77,4,2.0,,,,03/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701435.html
