,gameNumber,startDate,price,Unnamed: 3,gameName,topprize,topprizestarting,topprizeremaining,gameURL,Game Call Date,endDate,lastdatetoclaim,extrachances,secondChance,topprizeavail
0,2658,06/16/25,20,,"$1,000,000 CROSSWORD","$1,000,000",6,5,/export/sites/lottery/Games/Scratch_Offs/details.html_252699574.html,,,,,,
1,2744,12/01/25,20,,"$1,000,000 Ca$h!","$1,000,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252698648.html,,,,,,
2,2636,02/02/26,10,,"$1,000,000 Riches","$1,000,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252699638.html,,,,,,
3,2609,11/18/24,20,,"$100, $200, $500 OR $1,000!","$1,000",4913,3218,/export/sites/lottery/Games/Scratch_Offs/details.html_252699728.html,,,,,,
4,2701,11/17/25,5,*,"$100,000 Bonus Multiplier","$100,000",4,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252698775.html,03/20/2026,05/04/2026,10/31/2026,,,
5,2577,04/13/26,5,,"$100,000 Cash","$100,000",5,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252700474.html,,,,,,
6,2631,07/21/25,5,*,"$100,000 Richer","$100,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699643.html,03/08/2026,04/22/2026,10/19/2026,,,
7,2400,05/16/22,100,,$20 Million Supreme,"$20,000,000",4,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252701659.html,,,,,,
8,2619,01/06/25,5,*,"$200,000 Blitz","$200,000",5,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699697.html,03/08/2026,04/22/2026,10/19/2026,,,
9,2668,09/15/25,10,,"$250,000 50X Cashword","$250,000",10,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699543.html,,,,,,
10,2633,04/07/25,30,,$3 Million Ca$h,"$3,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699641.html,,,,,,
11,2686,09/15/25,2,,"$30,000 Gold Rush","$30,000",6,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699483.html,,,,,,
12,2624,04/21/25,50,,$5 Million Royale,"$5,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699671.html,,,,,,
13,2627,02/02/26,100,,$5 Million Titanium Black,"$5,000,000",4,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252699668.html,,,,,,
14,2665,02/03/25,100,,"$5,000,000 Fortune","$5,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699546.html,,,,,,
15,2637,07/07/25,10,,"$50, $100 OR $500!",$500,10081,6218,/export/sites/lottery/Games/Scratch_Offs/details.html_252699637.html,,,,,,
16,2742,12/15/25,5,*,$500 Frenzy,$500,3592,3199,/export/sites/lottery/Games/Scratch_Offs/details.html_252698650.html,05/03/2026,06/17/2026,,,,
17,2618,01/06/25,3,*,"$60,000 Blitz Word Search","$60,000",8,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699698.html,03/08/2026,04/22/2026,10/19/2026,,,
18,2644,05/05/25,10,*,100X,"$500,000",5,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699609.html,03/08/2026,04/22/2026,10/19/2026,,,
19,2691,10/06/25,10,,100X Sonic Blast,"$250,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699457.html,,,,,,
