,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,extrachances,secondChance,startDate,Days Since Start,lastdatetoclaim,topprizeodds,overallodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Photo,FAQ,About,Directory,Data Date,Stats Page,gameURL
0,50,500X THE MONEY,2267,7000000,1,,,,3/5/2024,691,,"2,611,200",3.39,2213381.0,-0.1523510263480392,3.39,-3.84027726695026e-07,5.14,0.0018114251634392929,0.29498536402002185,-1.0947688716678172e-07,0.19455981595577082,0.00035243054641639904,0.037317725689685464,0.030399114035824026,8.932183486977495,10.96495264667894,6.0,0.53,0.0003697564892653381,0.5320148225723452,0.0003697564892653381,0.3,0.2978374765223648,0.9999998516664211,46.666666666666664,41.666666666666664,72.0,45.0,46.666666666666664,50.39999999999999,65.0,3.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2267_teaser.jpg?rev=d6de1c0f2870456cb4c50ed86c631f85,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2267
1,50,"$1,000,000 GOLD RUSH",2309,1000000,3,,,,11/5/2024,446,,"734,400",3.55,416425.3333333333,-0.4329720406681191,3.55,-7.604398688208292e-07,3.55,-7.604398688208292e-07,0.2816903550536471,-2.142085766543289e-07,0.2816903550536471,-2.142085766543289e-07,0.04596967019897301,0.04596967019897301,7.2510084068417955,7.2510084068417955,4.0,0.56,0.0006327877851008521,0.5567180510951943,0.0006327877851008521,0.4,0.40308735715245747,0.999999558545878,33.333333333333336,32.333333333333336,74.0,45.333333333333336,35.666666666666664,44.13333333333334,40.0,2.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2309_teaser.jpg?rev=574abe6408564846822807b858f47f91,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2309
2,50,Cash Surge,2374,10000,440,,,,8/5/2025,173,,"3,184.39",7.53,2959.8204545454546,-0.0705219980764119,7.53,-2.303579478563056e-08,7.53,1.679135130871591e-07,0.13280212789319992,2.229927181796043e-08,0.13280212789319992,2.229927181796043e-08,0.041724843265779195,0.041724843265779195,7.988476668302629,7.988476668302629,11.0,0.68,0.00013277803540559253,0.6770719354137728,0.00013277803540559253,0.68,0.6799598516656891,1.000000344175259,37.333333333333336,34.333333333333336,84.0,81.66666666666667,65.33333333333333,60.53333333333334,87.0,5.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2374_teaser.jpg?rev=12fa3ab6f4274f2fb2024f5cd00ded9c,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2374
3,50,SET FOR LIFE,2368,6000000,3,,,,1/6/2026,19,,"816,000",3.7,764424.6666666666,-0.06320506535947717,3.7,-3.4884611307736453e-07,5.87,0.0001628431822994599,0.2702703645530364,-2.8035668786507983e-08,0.17025396878000623,2.7724698075243248e-05,0.049473158035174686,0.04487337073918255,6.737587068773876,7.428169226391475,8.0,0.61,0.00041183607624990825,0.6143535399607721,0.00041183607624990825,0.96,0.9577918558073166,0.999998460923744,33.0,32.666666666666664,80.0,58.333333333333336,54.166666666666664,51.63333333333334,69.0,4.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2368_teaser.jpg?rev=4496770acc62461593654bff71eba472,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2368
4,50,Cash Surge,2339,10000,53,,,,4/1/2025,299,4/1/2026,"3,400",7.53,2456.622641509434,-0.2774639289678136,7.53,-1.766496368807638e-06,7.53,-1.0491042984000566e-06,0.13280235942888302,-1.3932352607715082e-07,0.13280235942888302,-1.3932352607715082e-07,0.04198605224744659,0.04198605224744659,7.935500864931767,7.935500864931767,11.0,0.68,0.0005548584498441016,0.6837505088286572,0.0005548584498441016,0.13,0.12628276376648778,0.9999998593270374,37.0,34.0,85.0,24.0,39.666666666666664,43.93333333333333,38.0,1.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2339_teaser.jpg?rev=8e0b716a63494e028dcfd43540f0c5e0,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2339
5,30,BONUS STAR MILLIONS,2335,1000000,1,,,,3/4/2025,327,,"489,600",3.78,357425.0,-0.2699652777777778,3.78,-1.2869816268539837e-06,3.78,-7.084711699879135e-07,0.2645506050220326,-1.8742647667213674e-07,0.2645506050220326,-1.8742647667213674e-07,0.04068857983622325,0.04068857983622325,8.191597189436168,8.191597189436168,4.0,0.58,0.001514490054025417,0.5814534517730992,0.001514490054025417,0.27,0.2731982356995223,0.9999997686546894,39.333333333333336,35.0,77.0,34.666666666666664,36.833333333333336,44.56666666666667,42.0,2.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2335_teaser.jpg?rev=21bdd05c3ff14b13a9d743b86d019335,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2335
6,30,"Bursting with $5,000s",2300,5000,1077,,,,9/3/2024,509,,456.04,3.75,447.6044568245125,-0.018497375615050236,3.75,0.0,8.58,0.0023298656168150075,0.26666666666666666,1.0951834927830362e-07,0.11651834795776547,0.0002714720926348668,0.058232702515545555,0.03375720416761453,5.72390558803849,9.872699867707086,12.0,0.52,0.00027391742954072166,0.5231294210384384,0.00027391742954072166,0.39,0.39253246351340865,1.0000002692248158,31.666666666666668,38.0,70.0,70.66666666666667,66.25,55.31666666666668,78.0,8.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2300_teaser.jpg?rev=fc2382e0bf0e48efae5309508a7e064f,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2300
7,30,Cash Overload,2320,2000,70,,,,10/4/2024,478,,"8,568",7.4,7273.557142857143,-0.15107876483926902,7.4,-1.1784355718274324e-06,7.4,-7.052570997328134e-07,0.13513529438337304,-9.530512579125627e-08,0.13513529438337304,-9.530512579125627e-08,0.03493488638269067,0.03493488638269067,9.540237523274698,9.540237523274698,10.0,0.64,7.529262572422968e-05,0.6410356627758607,7.529262572422968e-05,0.31,0.31104009808546496,0.9999996960912971,51.333333333333336,37.666666666666664,81.0,38.666666666666664,43.5,50.43333333333333,66.0,5.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2320_teaser.jpg?rev=eec2863995f94391ba1c3d08f360eee3,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2320
8,30,WINNERS CLUB,2354,1000000,3,,,,7/1/2025,208,,"408,000",2.95,118240.66666666667,-0.7101944444444444,2.95,-2.1143273163156238e-06,5.68,0.004123285068353108,0.3389837675700971,-4.97666435006483e-07,0.17596878682461195,0.0007255694712101357,0.05742463819714149,0.03526224017129851,5.804429130686955,9.451550974559463,7.0,0.69,0.01298126527336995,0.6939565819618368,0.01298126527336995,0.44,0.4519262288757524,0.9999993537846142,32.0,37.0,86.0,45.666666666666664,39.0,47.93333333333333,57.0,4.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2354_teaser.jpg?rev=b6012a49e35a4e349bbbc25441cb12d9,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2354
9,30,Dominion Dollars,2193,1000000,2,,,,12/6/2022,1146,,"1,060,800",3.06,896610.5,-0.15477894042232276,3.06,-1.1153113741199958e-07,4.96,0.0006450043997885559,0.3267974220690032,4.164465777778403e-08,0.2016299162233768,0.0001300521830930601,0.045103978694906045,0.03317546286079706,7.390237831472319,10.047307312283376,6.0,0.47,0.00038849700052799374,0.4703759324701195,0.00038849700052799374,0.59,0.593200113173133,1.0000001647337398,34.0,39.0,60.0,75.66666666666667,55.333333333333336,52.8,73.0,6.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2193_teaser.jpg?rev=c5e4a6cc2cd7431782529406a01afcf2,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2193
