,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,50,500X THE MONEY,2267,7000000,"2,611,200",3.39,1,,,,3/5/2024,,,2026-01-11,https://www.valottery.com/scratchers/2267,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2267_teaser.jpg?rev=d6de1c0f2870456cb4c50ed86c631f85
0,50,"$1,000,000 GOLD RUSH",2309,1000000,"734,400",3.55,3,,,,11/5/2024,,,2026-01-11,https://www.valottery.com/scratchers/2309,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2309_teaser.jpg?rev=574abe6408564846822807b858f47f91
0,50,Cash Surge,2374,10000,"3,184.39",7.53,453,,,,8/5/2025,,,2026-01-11,https://www.valottery.com/scratchers/2374,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2374_teaser.jpg?rev=12fa3ab6f4274f2fb2024f5cd00ded9c
0,50,SET FOR LIFE,2368,6000000,"816,000",3.7,3,,,,1/6/2026,,,2026-01-11,https://www.valottery.com/scratchers/2368,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2368_teaser.jpg?rev=4496770acc62461593654bff71eba472
0,50,Cash Surge,2339,10000,"3,400",7.53,53,,,,4/1/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2339,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2339_teaser.jpg?rev=8e0b716a63494e028dcfd43540f0c5e0
0,30,"Bursting with $5,000s",2300,5000,456.04,3.75,1079,,,,9/3/2024,,,2026-01-11,https://www.valottery.com/scratchers/2300,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2300_teaser.jpg?rev=fc2382e0bf0e48efae5309508a7e064f
0,30,Cash Overload,2320,2000,"8,568",7.4,73,,,,10/4/2024,,,2026-01-11,https://www.valottery.com/scratchers/2320,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2320_teaser.jpg?rev=eec2863995f94391ba1c3d08f360eee3
0,30,BONUS STAR MILLIONS,2335,1000000,"489,600",3.78,1,,,,3/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2335,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2335_teaser.jpg?rev=21bdd05c3ff14b13a9d743b86d019335
0,30,Scorching Hot 7s,2241,777777,"734,400",3.07,1,,,,9/5/2023,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2241,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2241_teaser.jpg?rev=dbc91498bd19488da92398a12b5cb1a8
0,30,WINNERS CLUB,2354,1000000,"408,000",2.95,3,,,,7/1/2025,,,2026-01-11,https://www.valottery.com/scratchers/2354,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2354_teaser.jpg?rev=b6012a49e35a4e349bbbc25441cb12d9
