,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1828,$5 MILLION DOLLAR SERIES,5000000,4.0,1.0,6.931102072954008e-07,0.25,3.3247885924717178,3.465537174272858,2022-12-26
1,1828,$5 MILLION DOLLAR SERIES,200000,4.0,1.0,6.931102072954008e-07,0.25,0.13297877645960465,0.13860817925493424,2022-12-26
2,1828,$5 MILLION DOLLAR SERIES,50000,8.0,3.0,2.0793306218862025e-06,0.375,0.06646943941845225,0.1039249444818724,2022-12-26
3,1828,$5 MILLION DOLLAR SERIES,20000,10.0,2.0,1.3862204145908016e-06,0.2,0.03321477089787605,0.027696683883524215,2022-12-26
4,1828,$5 MILLION DOLLAR SERIES,10000,25.0,6.0,4.158661243772405e-06,0.24,0.04147690359869908,0.0415034392128486,2022-12-26
5,1828,$5 MILLION DOLLAR SERIES,5000,32.0,10.0,6.931102072954008e-06,0.3125,0.026492021472900536,0.03451688832331096,2022-12-26
6,1828,$5 MILLION DOLLAR SERIES,1000,3910.0,969.0,0.0006716237908692433,0.24782608695652175,0.636998794426834,0.6581913150518585,2022-12-26
7,1828,$5 MILLION DOLLAR SERIES,500,5027.0,1197.0,0.0008296529181325947,0.23811418340958823,0.40113069862732226,0.3982334007036455,2022-12-26
8,1828,$5 MILLION DOLLAR SERIES,400,3513.0,807.0,0.0005593399372873885,0.22971818958155424,0.22192055186391718,0.21254917616920763,2022-12-26
9,1828,$5 MILLION DOLLAR SERIES,200,7899.0,1861.0,0.0012898780957767409,0.23559944296746424,0.236363491281372,0.23217805723981336,2022-12-26
10,1828,$5 MILLION DOLLAR SERIES,100,210194.0,49288.0,0.03416201589717571,0.23448813952824535,2.7954136352785417,2.732961271774057,2022-12-26
11,1828,$5 MILLION DOLLAR SERIES,50,90095.0,21329.0,0.014783347611403604,0.236738997724624,0.44932203964626766,0.4435004283421081,2022-12-26
12,1828,$5 MILLION DOLLAR SERIES,40,60081.0,14292.0,0.009905931082665869,0.2378788635342288,0.19975742245398306,0.19811862165331737,2022-12-26
13,1828,$5 MILLION DOLLAR SERIES,30,300337.0,72186.0,0.0500328534238258,0.24035000682566585,0.4992805128706406,0.5003285342382581,2022-12-26
14,1828,$5 MILLION DOLLAR SERIES,25,600672.0,144366.0,0.10006154818640783,0.24034081828352247,0.4992788504696948,0.5003077409320391,2022-12-26
15,1828,$5 MILLION DOLLAR SERIES,20,690450.0,166722.0,0.11555671998070381,0.241468607429937,0.0,0.0,2022-12-26
16,1828,$5 MILLION DOLLAR SERIES,0,4043135.05,969732.0,0.6721311475409836,0.23984655174948954,-13.442623062554818,-13.442622950819672,2022-12-26
17,1828,$5 MILLION DOLLAR SERIES,Total,6015396.05,1442772.0,1.0,0.23984655174948954,,,2022-12-26
0,1874,SUPER CASH FRENZY,4000000,4.0,1.0,6.821287054083939e-07,0.25,3.1268763794968124,2.7285011790594673,2022-12-26
1,1874,SUPER CASH FRENZY,3000,21.0,5.0,3.4106435270419692e-06,0.23809523809523808,0.012230056389588856,0.01016371771058507,2022-12-26
2,1874,SUPER CASH FRENZY,500,2157.0,630.0,0.00042974108440728816,0.29207232267037553,0.20234118222314987,0.2062757205154983,2022-12-26
3,1874,SUPER CASH FRENZY,200,51197.0,14652.0,0.009994549791643787,0.2861886438658515,1.800984267433693,1.7990189624958817,2022-12-26
4,1874,SUPER CASH FRENZY,150,4273.0,1224.0,0.000834925535419874,0.286449801076527,0.1085598278020568,0.10854031960458363,2022-12-26
5,1874,SUPER CASH FRENZY,100,255788.0,72852.0,0.04969444044641231,0.28481398658263873,3.9991072723300154,3.9755552357129846,2022-12-26
6,1874,SUPER CASH FRENZY,60,21308.0,6143.0,0.0041903166373237636,0.2882954758776047,0.16656953758348314,0.16761266549295054,2022-12-26
7,1874,SUPER CASH FRENZY,50,170576.0,48776.0,0.03327150973499982,0.2859487852921865,1.0000738728238296,0.9981452920499947,2022-12-26
8,1874,SUPER CASH FRENZY,30,639397.0,183681.0,0.1252940827381192,0.28727222680118925,1.2495783581549929,1.2529408273811922,2022-12-26
9,1874,SUPER CASH FRENZY,0,3972181.87,1138035.0799999998,0.7762863958297378,0.2865012522702038,-15.525729709109143,-15.525727916594755,2022-12-26
10,1874,SUPER CASH FRENZY,Total,5116902.87,1465999.0799999998,1.0000000545702963,0.2865012522702038,,,2022-12-26
0,1950,DOUBLE CASH DOUBLER,1000000,4.0,1.0,1.2637448044291727e-06,0.25,0.8943136510071525,1.2637321669811283,2022-12-26
1,1950,DOUBLE CASH DOUBLER,20000,25.0,7.0,8.84621363100421e-06,0.28,0.1117344291169973,0.17683581048377414,2022-12-26
2,1950,DOUBLE CASH DOUBLER,10000,35.0,10.0,1.2637448044291727e-05,0.2857142857142857,0.07817497376840041,0.12624810596247435,2022-12-26
3,1950,DOUBLE CASH DOUBLER,1000,2236.0,383.0,0.00048401426009637315,0.17128801431127014,0.4949270668745371,0.47917411749540945,2022-12-26
4,1950,DOUBLE CASH DOUBLER,500,4140.0,699.0,0.0008833576182959918,0.16884057971014493,0.4535557036653141,0.43284523296503596,2022-12-26
5,1950,DOUBLE CASH DOUBLER,300,2623.0,459.0,0.0005800588652329903,0.1749904689287076,0.17007109193882206,0.16821707091756719,2022-12-26
6,1950,DOUBLE CASH DOUBLER,100,53795.0,8971.0,0.01133705464053411,0.1667627102890603,1.0824768890273102,1.0203349176480698,2022-12-26
7,1950,DOUBLE CASH DOUBLER,50,52338.0,8831.0,0.011160130367914025,0.16873017692689823,0.4680705593697172,0.44640521471656097,2022-12-26
8,1950,DOUBLE CASH DOUBLER,30,52301.0,8914.0,0.011265021186681646,0.17043651173017724,0.23386983000492548,0.2253004237336329,2022-12-26
9,1950,DOUBLE CASH DOUBLER,20,223550.0,38229.0,0.048311700128522844,0.1710087228807873,0.4998145398520209,0.48311700128522844,2022-12-26
10,1950,DOUBLE CASH DOUBLER,15,223550.0,39855.0,0.05036654918052468,0.1782822634757325,0.24990726992601045,0.2518327459026234,2022-12-26
11,1950,DOUBLE CASH DOUBLER,10,670650.0,121026.0,0.15294597870084506,0.18046074703645718,0.0,0.0,2022-12-26
12,1950,DOUBLE CASH DOUBLER,0,3187412.5599999996,563914.8,0.7126443986407162,0.17691930033682246,-7.126437673875875,-7.126443986407161,2022-12-26
