,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,gamePhoto,dateexported,gameURL
0,1,BLACK CHERRY DOUBLER,1976,2000,3.64,4,4,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1976.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1976
1,1,2026,1991,2026,3.98,4,0,Top Prize Claimed,,,,,08/11/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1991.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1991
2,2,LOTERIA 29TH EDITION,1972,20000,3.63,5,5,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1972.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1972
3,3,KING CROSSWORD,1974,30000,3.91,5,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1974.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1974
4,5,LUCKY FOR LIFE 19TH EDITION,1942,2600000,4.72,4,3,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1942.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1942
5,5,$500 FRENZY,1982,500,3.35,1018,965,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1982.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1982
6,5,QUEEN OF HEARTS,1913,50000,3.36,4,3,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1913.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1913
7,10,"$1,000 FRENZY",1983,1000,3.55,860,834,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1983.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1983
8,20,"$2,500 FRENZY",1984,2500,3.51,672,656,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1984.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1984
9,30,"$5,000 FRENZY",1985,5000,2.99,427,413,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1985.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1985
10,1,TOBOGGAN TRIPLER,1977,2000,3.95,4,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1977.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1977
11,1,HOLLY DAY CASH,1960,2000,3.83,3,0,Top Prize Claimed,,,,,08/04/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1960.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1960
12,1,MOO-LAH,1951,5000,3.70,4,0,Top Prize Claimed,,,,,05/21/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1951.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1951
13,1,COOL CAT,1932,5000,3.70,4,1,,,,,,05/01/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1932.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1932
14,1,I'M A BIG DILL,1931,3000,3.95,4,0,Top Prize Claimed,,,,04/22/26,01/29/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1931.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1931
15,2,DOUBLE DOLLAR$,1953,20000,4.38,4,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1953.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1953
16,2,SNOW MUCH FUN,1961,20000,4.54,4,0,Top Prize Claimed,,,,,08/04/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1961.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1961
17,2,GHOUL'S GOLD,1958,20000,4.39,2,0,Top Prize Claimed,,,,,04/09/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1958.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1958
18,2,LUCKY SLUG,1907,20000,4.38,4,0,Top Prize Claimed,,,,,02/18/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1907.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1907
19,3,LOTERIA EXTRA! 3RD EDITION,1973,30000,4.15,4,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1973.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1973
20,3,S'MORE SLINGO,1938,30000,4.17,6,3,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1938.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1938
21,3,JACKPOT BINGO,1944,30000,3.79,5,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1944.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1944
22,3,LOTERIA EXTRA! 2ND EDITION,1943,30000,4.15,4,2,,,,,,05/19/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1943.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1943
23,3,CROSSWORD TRIPLER,1926,30000,3.90,5,0,Top Prize Claimed,,,,,04/15/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1926.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1926
24,3,SLINGO SIZZLER,1910,30000,4.17,6,0,Top Prize Claimed,,,,,04/22/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1910.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1910
25,5,PEPPERMINT BARK 7S,1962,500,3.49,1694,241,,,,,,08/04/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1962.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1962
26,5,MONEY MAKER SLINGO TRIO 2ND ED,1941,50000,3.37,5,3,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1941.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1941
27,5,SEATTLE SEAHAWKS,1956,50000,3.41,4,0,Top Prize Claimed,,,,,07/30/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1956.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1956
28,5,DOUBLE YOUR DOLLARS,1939,50000,3.36,4,0,Top Prize Claimed,,,,,07/01/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1939.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1939
29,5,WILD 10S,1966,75000,3.38,4,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1966.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1966
30,5,WITCHES BREW BUCKS,1959,50000,3.34,4,1,,,,,,06/02/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1959.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1959
31,5,LOTERIA GRANDE 12TH EDITION,1940,50000,3.32,4,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1940.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1940
32,5,HOT & COLD NUMBERS,1936,50000,3.48,4,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1936.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1936
33,5,BANK HEIST,1934,50000,3.48,4,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1934.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1934
34,5,SEATTLE MARINERS,1930,50000,3.41,4,1,,,,,,02/17/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1930.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1930
35,5,STACKS OF CASH,1933,75000,3.38,4,0,Top Prize Claimed,,,,,05/01/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1933.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1933
36,5,SILVER & GOLD CROSSWORD,1830,50000,3.55,4,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1830.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1830
37,5,LOTERIA GRANDE 11TH EDITION,1909,50000,3.32,4,0,Top Prize Claimed,,,,04/22/26,01/29/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1909.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1909
38,5,MONEY MAKER SLINGO TRIO,1929,50000,3.37,5,0,Top Prize Claimed,,,,,02/24/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1929.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1929
39,5,WASHINGTON CASH,1912,50000,3.36,4,2,,,,,,03/17/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1912.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1912
40,5,LUCKY FOR LIFE V18,1904,2600000,4.72,4,0,Top Prize Claimed,,,,,04/27/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1904.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1904
41,10,25 DAYS OF WINNING,1963,250000,3.79,3,1,,,,,,08/04/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1963.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1963
42,10,TRIPLE JACKPOT,1935,250000,3.55,3,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1935.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1935
43,10,JURASSIC PARK,1945,250000,3.55,3,1,,,,,,04/07/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1945.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1945
44,10,PINK PANTHER CROSSWORD,1947,250000,3.54,3,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1947.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1947
45,10,"$250,000 LOTERIA 7th EDITION",1927,250000,3.61,3,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1927.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1927
46,10,GO FOR THE GREEN,1815,250000,3.47,3,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1815.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1815
47,10,DIAMOND CROSSWORD,1928,250000,3.54,3,0,Top Prize Claimed,,,,,02/23/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1928.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1928
48,10,"$1,000 DREAMIN'",1906,1000,3.42,510,37,,,,,04/22/26,02/05/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1906.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1906
49,10,BONUS MONEY,1810,250000,3.45,3,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1810.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1810
50,10,$20 MILLION CASH BLOWOUT,1744,100,10.00,118654,11614,,,,,,05/01/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1744.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1744
51,20,LOTERIA SUPER GRANDE!,1948,500000,3.36,3,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1948.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1948
52,20,MONEY MADNESS,1783,500000,3.51,5,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1783.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1783
53,20,LOTERIA SUPER GRANDE!,1825,500000,3.36,3,1,,,,,,06/02/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1825.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1825
54,20,"$1,000,000 DIAMOND DAZZLER",1780,1000000,3.40,5,1,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1780.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1780
55,30,LUCKY TIMES 50,1954,2000000,2.99,3,0,Top Prize Claimed,,,,,07/30/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1954.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1954
56,30,MAX-A-MILLION,1911,2000000,2.86,3,0,Top Prize Claimed,,,,,07/15/26,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1911.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1911
57,30,SERIOUS MONEY,1801,2000000,2.86,4,2,,,,,,,https://www.walottery.com/scratch/assets/imgs/tickets/grid/1801.jpg,1/22/2026 12:30:05 AM,https://walottery.com/Scratch/Explorer.aspx?id=1801
