,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1629,DECADE OF DOLLARS,3750000,4.0,0.0,0.0,0.0,5.408036746002989,0.0,9/24/2023 12:25:03 AM
1,1629,DECADE OF DOLLARS,50000,5.0,1.0,3.844734251968504e-06,0.2,0.09009837271306427,0.19215981791338582,9/24/2023 12:25:03 AM
2,1629,DECADE OF DOLLARS,5000,20.0,0.0,0.0,0.0,0.035909555511089236,0.0,9/24/2023 12:25:03 AM
3,1629,DECADE OF DOLLARS,1000,90.0,10.0,3.844734251968504e-05,0.1111111111111111,0.031799425663434445,0.03767839566929134,9/24/2023 12:25:03 AM
4,1629,DECADE OF DOLLARS,500,918.0,67.0,0.00025759719488188974,0.07298474945533769,0.15886733474303577,0.12364665354330708,9/24/2023 12:25:03 AM
5,1629,DECADE OF DOLLARS,200,8809.0,748.0,0.002875861220472441,0.08491315699852424,0.5716757972840695,0.5176550196850394,9/24/2023 12:25:03 AM
6,1629,DECADE OF DOLLARS,100,124827.0,10494.0,0.04034664124015748,0.08406835059722656,3.6003872174961735,3.227731299212598,9/24/2023 12:25:03 AM
7,1629,DECADE OF DOLLARS,50,113087.0,9851.0,0.03787447711614173,0.08710992421763775,1.2231638265308882,1.1362343134842519,9/24/2023 12:25:03 AM
8,1629,DECADE OF DOLLARS,25,443080.0,42868.0,0.16481606791338582,0.09675002256928772,0.7987352337275813,0.8240803395669292,9/24/2023 12:25:03 AM
9,1629,DECADE OF DOLLARS,20,221540.0,21519.0,0.08273483636811024,0.09713370046041347,0.0,0.0,9/24/2023 12:25:03 AM
10,1629,DECADE OF DOLLARS,0,1861255.2000000002,174538.32,0.6710534571850394,0.09377452377298932,-13.421053599338054,-13.421069143700787,9/24/2023 12:25:03 AM
11,1629,DECADE OF DOLLARS,Total,2773635.2,260096.32,1.0000012303149606,0.09377452377298932,,,9/24/2023 12:25:03 AM
0,1670,LION'S SHARE,2000000,3.0,1.0,2.9444760157706135e-06,0.3333333333333333,1.768250758222563,5.888863697260754,9/24/2023 12:25:03 AM
1,1670,LION'S SHARE,10000,20.0,0.0,0.0,0.0,0.05876574835115512,0.0,9/24/2023 12:25:03 AM
2,1670,LION'S SHARE,6000,40.0,3.0,8.833428047311841e-06,0.075,0.07037743583879559,0.05273556544245169,9/24/2023 12:25:03 AM
3,1670,LION'S SHARE,3000,40.0,6.0,1.7666856094623682e-05,0.15,0.03501189019115962,0.05247056260103233,9/24/2023 12:25:03 AM
4,1670,LION'S SHARE,1000,60.0,6.0,1.7666856094623682e-05,0.1,0.017152289639103445,0.017136850411784973,9/24/2023 12:25:03 AM
5,1670,LION'S SHARE,500,684.0,62.0,0.00018255751297777803,0.09064327485380116,0.09474429679001678,0.08580203109955567,9/24/2023 12:25:03 AM
