gameNumber,gameName,title,slug,price,ticketPrice,topprize,topPrize,overallodds,odds,startDate,endDate,claimEndDate,lastdatetoclaim,topprizestarting,topprizeremain,topprizeavail,dateexported,gameURL,gamePhoto
1240,DRAGON BLAST - UNDERWATER KENO,DRAGON BLAST - UNDERWATER KENO,1240-dragon-blast-underwater-keno,10.0,10,75000.0,75000,3.91,1 in 3.91,2025-12-02T00:00:00.000-05:00,2035-11-21T00:00:00.000-05:00,,,3,3,,2025-12-21,https://wvlottery.com/games/scratch-offs/1240-dragon-blast-underwater-keno,https://images.ctfassets.net/nm98451qj5dg/2WoDqS8SMC6l3x7GICgKoL/23e13e9fdb11538b146c281369ed66e0/1240_P1_4x4__1_.jpg
1250,YO MONEY - CA$H,YO MONEY - CA$H,1250-yo-money-cash,5.0,5,20000.0,20000,4.11,4.11,2025-12-02T00:00:00.000-05:00,2035-11-21T00:00:00.000-05:00,,,0,0,Top Prize Claimed,2025-12-21,https://wvlottery.com/games/scratch-offs/1250-yo-money-cash,https://images.ctfassets.net/nm98451qj5dg/39fufpCqpBA8b0RPvHE0MW/bbe1cc610c574529b4ffc96fad5e4a6f/1250_P1_4x4.jpg
1243,SPIN-LUCKY-CHERRIES-HAND,SPIN-LUCKY-CHERRIES-HAND,1243-spin-lucky-cherries-hand,1.0,1,1000.0,1000,5.32,1 in 5.32,2025-12-02T00:00:00.000-05:00,2035-11-21T00:00:00.000-05:00,,,0,0,Top Prize Claimed,2025-12-21,https://wvlottery.com/games/scratch-offs/1243-spin-lucky-cherries-hand,https://images.ctfassets.net/nm98451qj5dg/dcmTpBxXUljDb0YLl7koS/6c3ff66beb57cd4cd43dcafd53578b48/1243_P1_4x4__1_.jpg
1251,$$300 GRAND,$$300 GRAND,1251-300-grand,30.0,30,300000.0,300000,3.12,3.12,2025-11-17T00:00:00.000-05:00,2035-11-14T00:00:00.000-05:00,,,3,3,,2025-12-21,https://wvlottery.com/games/scratch-offs/1251-300-grand,https://images.ctfassets.net/nm98451qj5dg/595YgiFglOHHZ3RRxkxbEv/784c413157c55fb5c0ed84ff6a20b0b5/1251_P1_4x4.jpg
1233,JACKSON-MONEY-MANIA-GEMSTONE,JACKSON-MONEY-MANIA-GEMSTONE,1233-jackson-money-mania-gemstone,20.0,20,50000.0,50000,3.87,3.87,2025-11-17T00:00:00.000-05:00,2035-11-14T00:00:00.000-05:00,,,3,3,,2025-12-21,https://wvlottery.com/games/scratch-offs/1233-jackson-money-mania-gemstone,https://images.ctfassets.net/nm98451qj5dg/1aH5B5eLLEd3uZVzkFKPWN/fdcc66d0d0e4bea4e9eec1e0ccd07653/1233_P1_4x4.jpg
1230,KENO - Truck-Scoops-Green-Primo,KENO - Truck-Scoops-Green-Primo,1230-keno-truck-scoops-green-primo,2.0,2,20000.0,20000,4.88,1 in 4.88,2025-09-30T00:00:00.000-04:00,2035-05-15T00:00:00.000-04:00,,,3,3,,2025-12-21,https://wvlottery.com/games/scratch-offs/1230-keno-truck-scoops-green-primo,https://images.ctfassets.net/nm98451qj5dg/2gGzPCDgW550TJxcPY1fgE/efb12fcbbeddb1c56ba5726f50918b52/1230_P1_4x4__1_.jpg
1237,SPOOKY KITTY - SANTA SPINS,SPOOKY KITTY - SANTA SPINS,1237-spooky-kitty,5.0,5,1000.0,1000,3.79,1 in 3.79,2025-10-17T00:00:00.000-04:00,2026-01-01T00:00:00.000-05:00,,,0,0,Top Prize Claimed,2025-12-21,https://wvlottery.com/games/scratch-offs/1237-spooky-kitty,https://images.ctfassets.net/nm98451qj5dg/2j4nifHqxcHWX2lnFUJOXx/d668ab2efb2e946436df5e62f5e58bec/1237_P2_4x4.jpg
1238,WICKED SEVENS - ELFIN SEVENS,WICKED SEVENS - ELFIN SEVENS,1238-wicked-sevens,2.0,2,7000.0,7000,4.74,1 in 4.74,2025-10-17T00:00:00.000-04:00,2026-01-01T00:00:00.000-05:00,,,0,0,Top Prize Claimed,2025-12-21,https://wvlottery.com/games/scratch-offs/1238-wicked-sevens,https://images.ctfassets.net/nm98451qj5dg/1BwV2kJxNULpHvCf7Yz2e2/0742b9d042eafd37739b07656e3e9e6d/1238_P2_4x4.png
1239,BONES - GANGSTA WRAPPER,BONES - GANGSTA WRAPPER,1239-bones,1.0,1,100.0,100,4.12,1 in 4.12,2025-10-17T00:00:00.000-04:00,2026-01-01T00:00:00.000-05:00,,,42,8,,2025-12-21,https://wvlottery.com/games/scratch-offs/1239-bones,https://images.ctfassets.net/nm98451qj5dg/2SmxkzmptBvetDWcfHd5gB/e729beac78d89d1c2aeea70175937966/1239_P2_4x4.png
1242,BOO - HO HO HO,BOO - HO HO HO,1242-boo,10.0,10,5000.0,5000,5.36,1 in 5.36,2025-10-17T00:00:00.000-04:00,2026-01-01T00:00:00.000-05:00,,,0,0,Top Prize Claimed,2025-12-21,https://wvlottery.com/games/scratch-offs/1242-boo,https://images.ctfassets.net/nm98451qj5dg/62CYCfVT84HH0qyD2VZF6w/f095b0200a2d8253a5966c51833fc266/1242_P2_4x4.jpg
