,price,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,topprizeodds,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto_x,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,tierLevel,gamePhoto_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost
0,20.0,1475,500000,3.03,10,6,Available,309939.0,,,2024-12-30,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1475-monopoly-100x/,https://www.arizonalottery.com/media/wqnnnjq2/1475-monopoly-100x.jpg?anchor=top&mode=crop&width=282,MONOPOLY 100X,511965,1024259,431790,66,https://www.arizonalottery.com/media/wqnnnjq2/1475-monopoly-100x.jpg?anchor=top&mode=crop&width=282,3103504.77,1308323.7,2079245.77,876533.7,309939.0,1.368979219963266,3.03,-5.350357865589789e-07,5.3,5.303385378840827,0.00023442897360801765,0.33003317987989206,0.33003308518371494,-9.469617712198897e-08,0.18851460992430769,0.18855880321082236,4.4193286514671026e-05,0.04224267831512146,0.02151265298856843,7.890769598670777,15.493783752811641,6.0,0.45,0.004024109290840459,0.44628887514780374,0.004024109290840459,0.43,0.435095551642602,0.9999997908866783,https://www.arizonalottery.com/media/wqnnnjq2/1475-monopoly-100x.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,489,37.0,42.0,60.0,40.666666666666664,35.5,43.03333333333333,61.0,6.0
1,3.0,1498,20000,3.75,10,2,Available,272400.0,,,2025-06-03,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1498-cosmic-cash-lines/,https://www.arizonalottery.com/media/xxfjfhs5/1498-cosmic-cash.jpg?anchor=top&mode=crop&width=282,Cosmic Cash Lines,21724,727057,240462,66,https://www.arizonalottery.com/media/xxfjfhs5/1498-cosmic-cash.jpg?anchor=top&mode=crop&width=282,2726463.75,901732.5,1999406.75,661270.5,272400.0,2.020853202503626,3.75,-5.544881658418414e-07,7.19,6.931321405146509,0.03774838902793575,0.26666681453025953,0.26666674002177915,-7.45084803854823e-08,0.13902467695501547,0.14427263454519648,0.005247957590181013,0.039291396269070654,0.02021410529666397,8.48332218321605,16.487966587892103,8.0,0.33,-0.0367200065343938,0.3310957875141025,-0.0367200065343938,0.3,0.3005027511679084,0.999999861924862,https://www.arizonalottery.com/media/xxfjfhs5/1498-cosmic-cash.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,334,42.333333333333336,45.666666666666664,10.0,33.0,29.333333333333332,32.06666666666667,18.0,1.0
2,5.0,1478,50000,3.48,24,1,Available,348282.2,,,2025-02-04,2026-04-07,2026-10-04,2026-05-03,https://www.arizonalottery.com/scratchers/1478-sunken-treasure-crossword/,https://www.arizonalottery.com/media/b4fbikwg/az-sunken-treasure-xword-1478.jpg?anchor=top&mode=crop&width=282,Sunken Treasure Crossword,53215,2271649,121714,45,https://www.arizonalottery.com/media/b4fbikwg/az-sunken-treasure-xword-1478.jpg?anchor=top&mode=crop&width=282,7905338.52,423564.72,5633689.52,301850.72,348282.2,18.734379692325128,3.48,-1.699858288483669e-06,9.04,6.4947818035578875,0.3911866486433052,0.2873568103049362,0.2873563407409019,-4.6956403432218963e-07,0.11067512819786385,0.15396976068575435,0.043294632487890505,0.059575219444865705,0.026243356188479876,5.5949103314920094,12.698186866838867,12.0,0.25,-0.07634269168003682,0.24864247197589978,-0.07634269168003682,0.03,0.02735761812793657,0.9999999074900393,https://www.arizonalottery.com/media/b4fbikwg/az-sunken-treasure-xword-1478.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,453,27.0,36.0,2.0,15.666666666666666,25.666666666666668,21.26666666666667,1.0,1.0
3,10.0,1486,100000,3.48,7,3,Available,298380.0,,,2025-03-04,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1486-bank-on-it/,https://www.arizonalottery.com/media/dsihmlzv/1486-bank-on-it-final-art.jpg?anchor=top&mode=crop&width=282,Bank On It,111695,600457,220371,45,https://www.arizonalottery.com/media/dsihmlzv/1486-bank-on-it-final-art.jpg?anchor=top&mode=crop&width=282,2089590.36,766891.08,1489133.36,546520.08,298380.0,1.7235421983045829,3.48,-1.0431729107604833e-07,5.64,5.5847498396407955,0.009429664260209837,0.28735635181531666,0.28735637134557496,1.953025829948274e-08,0.17738635607928638,0.17905904986145607,0.001672693782169693,0.04017745354135787,0.029427962539536247,8.296214794443,11.326152126743263,7.0,0.44,-0.0016617880306317642,0.43905261634313086,-0.0016617880306317642,0.36,0.3587802585414511,1.0000000394057658,https://www.arizonalottery.com/media/dsihmlzv/1486-bank-on-it-final-art.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,425,39.333333333333336,30.0,57.0,47.333333333333336,50.5,44.833333333333336,67.0,17.0
4,50.0,1401,5000000,2.18,6,3,Available,886248.0,,,2023-01-31,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1401-set-for-life/,https://www.arizonalottery.com/media/p0vppvm2/1401-set-for-life-p3.jpg?anchor=top&mode=crop&width=282,SET FOR LIFE,5011710,2442507,606431,28,https://www.arizonalottery.com/media/p0vppvm2/1401-set-for-life-p3.jpg?anchor=top&mode=crop&width=282,5324665.260000001,1322019.58,2882158.2600000007,715588.5800000001,886248.0,3.0222477891770088,2.18,-4.3872270037065437e-07,6.03,5.972180785079937,0.009977629005191543,0.45871579757930864,0.4587156187290656,-1.7885024305996922e-07,0.16578884267170138,0.16744302223707971,0.001654179565378333,0.10648298656631523,0.039254537912258206,3.130374376487014,8.49125826336513,8.0,0.48,0.005763007328433212,0.4819997292020765,0.005763007328433212,0.28,0.2867359867048282,0.9999998712235283,https://www.arizonalottery.com/media/p0vppvm2/1401-set-for-life-p3.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,1188,24.333333333333332,26.666666666666668,68.0,30.666666666666668,44.5,38.83333333333333,47.0,3.0
5,10.0,1485,100000,3.43,7,4,Available,305100.0,,,2025-04-01,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1485-100000-max/,https://arizonalottery.com/media/1388/azl_starlogo_color.jpg,"$100,000 MAX",112045,621806,254992,78,https://arizonalottery.com/media/1388/azl_starlogo_color.jpg,2132794.58,874622.56,1510988.58,619630.56,305100.0,1.4418548813087253,3.43,-6.402761895666033e-07,5.5,5.462315856332084,0.007349843531513193,0.2915453761739357,0.29154526878826553,-1.0738567018941936e-07,0.1817367960101621,0.18307253302475532,0.001335737014593219,0.03412719412900362,0.021986475519282723,9.767007634514474,15.159389350670956,6.0,0.45,0.0018948668415465907,0.45154535330691437,0.0018948668415465907,0.42,0.4222918804640393,0.9999997439523968,https://arizonalottery.com/media/1388/azl_starlogo_color.jpg,,,,2026-05-03,397,47.0,41.666666666666664,61.0,36.666666666666664,37.166666666666664,44.699999999999996,65.0,15.0
6,2.0,1519,10000,4.29,7,4,Available,448950.0,,,2025-12-30,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1519-20x-the-cash/,https://www.arizonalottery.com/media/4s4kkhm2/az-20x-the-cash-1519-game-image.jpg?anchor=top&mode=crop&width=282,20X The Cash,10966,732088,344341,66,https://www.arizonalottery.com/media/4s4kkhm2/az-20x-the-cash-1519-game-image.jpg?anchor=top&mode=crop&width=282,3140657.52,1477222.89,2408569.52,1132881.89,448950.0,1.1274053595194222,4.29,-6.02481863828585e-07,8.2,8.02049394885834,0.02253431391515643,0.2331003735389806,0.23310027169474412,-1.0184423648862406e-07,0.12193292545060933,0.1246806002693067,0.0027476748186973793,0.03487909755652982,0.0190326207063583,9.55655695316883,17.51208783323294,10.0,0.37,-0.017497688275153026,0.37309828854430815,-0.017497688275153026,0.46,0.4613386510795251,0.9999996119983178,https://www.arizonalottery.com/media/4s4kkhm2/az-20x-the-cash-1519-game-image.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,124,46.333333333333336,46.333333333333336,28.0,36.666666666666664,28.833333333333332,37.233333333333334,39.0,8.0
7,10.0,1521,100000,3.44,10,5,Available,301866.0,,,2025-12-30,2099-12-31,2099-12-31,2026-05-03,https://www.arizonalottery.com/scratchers/1521-100x-the-cash/,https://www.arizonalottery.com/media/mjcfojph/az-100x-the-cash-1521-game-image.jpg?anchor=top&mode=crop&width=282,100X The Cash,112045,877792,501912,78,https://www.arizonalottery.com/media/mjcfojph/az-100x-the-cash-1521-game-image.jpg?anchor=top&mode=crop&width=282,3019604.48,1726577.28,2141812.48,1224665.28,301866.0,0.7483494799247296,3.44,-1.6217055747376248e-07,5.51,5.482553389279658,0.005061846222865094,0.2906977215612162,0.2906977206282678,-9.329483852127396e-10,0.18147815012015103,0.18239676460886925,0.0009186144887182168,0.03407154316572494,0.022110458877123013,9.783144674752771,15.075096269405611,6.0,0.42,-0.0021061239742591505,0.41850030435943486,-0.0021061239742591505,0.56,0.554989498269995,0.9999999957145705,https://www.arizonalottery.com/media/mjcfojph/az-100x-the-cash-1521-game-image.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,124,47.333333333333336,40.666666666666664,45.0,55.0,39.166666666666664,45.43333333333333,68.0,18.0
8,2.0,1454,7777,3.97,21,1,Available,247364.3,,,2024-09-16,2026-01-06,2026-07-05,2026-05-03,https://www.arizonalottery.com/scratchers/1454-red-hot-7s/,https://www.arizonalottery.com/media/ui1nqh3e/1454-red-hot-7s-game-image.jpg?anchor=top&mode=crop&width=282,Red Hot 7s,8688,1308478,165752,45,https://www.arizonalottery.com/media/ui1nqh3e/1454-red-hot-7s-game-image.jpg?anchor=top&mode=crop&width=282,5194657.66,658035.4400000001,3886179.66,492283.44000000006,247364.3,6.894185415669379,3.97,-6.686569952082251e-07,9.31,7.987024648401644,0.16568099919536325,0.25188933719331036,0.2518892007691749,-1.3642413543291099e-07,0.10740766068674158,0.12520306923055746,0.01779540854381588,0.047655674610599115,0.020358589908114306,6.994324814703683,16.3693130751132,11.0,0.26,-0.1599247700379424,0.2635429726382335,-0.1599247700379424,0.09,0.08438920236636509,0.9999999214406174,https://www.arizonalottery.com/media/ui1nqh3e/1454-red-hot-7s-game-image.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,594,31.333333333333332,45.0,3.0,19.0,30.166666666666668,25.7,6.0,2.0
9,20.0,1509,250000,2.87,5,0,Top Prize Claimed,210810.0,,,2025-09-30,2026-01-06,2026-07-05,2026-05-03,https://www.arizonalottery.com/scratchers/1509-cash-countdown/,https://www.arizonalottery.com/media/5rmdelxk/1509-cash-countdown.jpg?anchor=top&mode=crop&width=282,Cash Countdown,261965,367083,142357,66,https://www.arizonalottery.com/media/5rmdelxk/1509-cash-countdown.jpg?anchor=top&mode=crop&width=282,1053528.21,408564.59,686445.21,266207.59,210810.0,1.5798895644256468,2.87,-1.4440801147983416e-06,5.06,5.040996784565916,0.0035568704997965095,0.3484325589136586,0.3484321252021778,-4.337114807850817e-07,0.19767037722364184,0.19837346515707224,0.0007030879334304074,0.04566349999542907,0.02415643421210259,7.299401964161166,13.79658878049889,6.0,0.33,-0.007874723895447307,0.3332170724782409,-0.007874723895447307,0.35,0.3494710699128986,0.9999992114897354,https://www.arizonalottery.com/media/5rmdelxk/1509-cash-countdown.jpg?anchor=top&mode=crop&width=282,,,,2026-05-03,215,33.0,38.0,11.0,26.0,14.5,24.5,5.0,1.0
