price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,topprizeodds,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
10.0,NASCAR,1495,100000,3.48,4,2,Available,507855.0,,,2025-07-01,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1495-nascar/,
20.0,"$500,000 Gold Rush",1459,500000,3.09,7,1,Available,314820.0,,,2024-07-02,2026-01-06,2026-07-05,2026-03-31,"https://www.arizonalottery.com/scratchers/1459-500,000-gold-rush/",
3.0,Arizona Treasure Hunt,1470,20000,3.8,12,3,Available,256491.7,,,2024-12-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1470-arizona-treasure-hunt/,
2.0,Rock Out,1484,10000,4.28,5,2,Available,478140.0,,,2025-03-04,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1484-rock-out/,
1.0,MONOPOLY 5X,1471,1000,4.38,14,4,Available,555428.6,,,2024-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1471-monopoly-5x/,
5.0,Cactus Crossword,1444,50000,3.43,24,5,Available,335870.0,,,2024-03-05,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1444-cactus-crossword/,
10.0,Bank On It,1486,100000,3.48,7,3,Available,298380.0,,,2025-03-04,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1486-bank-on-it/,
10.0,Money,1489,100000,3.44,7,5,Available,305082.9,,,2025-05-06,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1489-money/,
10.0,Ka Pow,1493,100000,3.43,7,4,Available,296194.3,,,2025-06-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1493-ka-pow/,
5.0,Lotería Grande,1497,50000,3.42,13,5,Available,312747.7,,,2025-08-05,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1497-lotería-grande/,
2.0,Double Bingo,1441,10000,3.63,16,5,Available,398850.0,,,2024-07-02,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1441-double-bingo/,
5.0,Loteria Grande,1483,50000,3.42,9,2,Available,322700.0,,,2025-03-04,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1483-loteria-grande/,
5.0,2026,1526,50000,3.58,4,0,Top Prize Claimed,486773.9,,,2025-12-02,2026-03-11,2026-09-07,2026-03-31,https://www.arizonalottery.com/scratchers/1526-2026/,
50.0,500X FORTUNE,1440,5000000,2.55,4,0,Top Prize Claimed,1276754.0,,,2024-02-06,2026-03-13,2026-09-09,2026-03-31,https://www.arizonalottery.com/scratchers/1440-500x-fortune/,
10.0,"$100,000 MAX",1485,100000,3.43,7,4,Available,305100.0,,,2025-04-01,2099-12-31,2099-12-31,2026-03-31,"https://www.arizonalottery.com/scratchers/1485-100,000-max/",
5.0,PAC-MAN,1481,50000,3.67,8,4,Available,330277.5,,,2025-04-01,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1481-pac-man/,
10.0,Cash King,1512,100000,3.51,6,1,Available,351230.0,,,2025-09-02,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1512-cash-king/,
2.0,20X The Cash,1519,10000,4.29,7,5,Available,448950.0,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1519-20x-the-cash/,
10.0,100X The Cash,1521,100000,3.44,10,7,Available,301866.0,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1521-100x-the-cash/,
2.0,Crossword,1510,10000,3.68,20,14,Available,400695.0,,,2025-11-04,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1510-crossword/,
5.0,Instant Cash,1492,50000,3.67,7,1,Available,317708.6,,,2025-07-01,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1492-instant-cash/,
5.0,Candy Cane Cash,1507,50000,3.67,6,1,Available,398630.0,,,2025-09-30,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1507-candy-cane-cash/,
2.0,Winter Winnings,1505,10000,4.11,8,0,Top Prize Claimed,283068.8,,,2025-09-30,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1505-winter-winnings/,
3.0,One Word Crossword,1506,20000,3.54,18,10,Available,339044.4,,,2025-09-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1506-one-word-crossword/,
5.0,Retro Slingo,1511,50000,3.46,10,5,Available,305790.0,,,2025-09-02,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1511-retro-slingo/,
1.0,10X The Cash,1518,1000,4.38,14,10,Available,575228.6,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1518-10x-the-cash/,
50.0,500X The Cash,1523,5000000,2.55,4,3,Available,1329106.0,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1523-500x-the-cash/,
3.0,Corner Cash Crossword,1463,20000,3.42,20,6,Available,326735.0,,,2024-10-01,2026-04-07,2026-10-04,2026-03-31,https://www.arizonalottery.com/scratchers/1463-corner-cash-crossword/,
30.0,Instant Millions,1466,3500000,2.75,3,1,Available,674326.7,,,2024-09-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1466-instant-millions/,
2.0,Easy $100s,1528,10000,4.28,5,4,Available,478560.0,,,2026-03-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1528-easy-100s/,
5.0,MONOPOLY 20X,1473,50000,3.81,11,3,Available,340783.6,,,2024-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1473-monopoly-20x/,
10.0,$100 Grand Crossword,1514,100000,3.42,23,13,Available,290013.9,,,2025-11-04,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1514-100-grand-crossword/,
2.0,Circle K Cash & Gas,1524,10000,4.14,4,3,Available,273787.5,,,2025-11-18,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1524-circle-k-cash-&-gas/,
2.0,Lucky 13,1494,13000,4.3,4,1,Available,433125.0,,,2025-08-05,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1494-lucky-13/,
20.0,$230 Million CASH EXPLOSION®,1400,2500000,3.09,8,0,Top Prize Claimed,1976572.0,,,2023-04-04,2026-03-17,2026-09-13,2026-03-31,https://www.arizonalottery.com/scratchers/1400-230-million-cash-explosion®/,
10.0,Triple Cash Payout,1515,100000,3.45,7,4,Available,304877.1,,,2025-12-02,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1515-triple-cash-payout/,
10.0,Instant Cash,1535,100000,3.44,6,4,Available,335140.0,,,2026-03-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1535-instant-cash/,
10.0,"$100,000 Mega Cash",1482,100000,3.53,7,1,Available,299040.0,,,2025-02-04,2026-01-06,2026-07-05,2026-03-31,"https://www.arizonalottery.com/scratchers/1482-100,000-mega-cash/",
10.0,MONOPOLY 50X,1474,100000,3.4,10,2,Available,314694.0,,,2024-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1474-monopoly-50x/,
1.0,Taco Tripler,1503,900,4.36,17,11,Available,244217.7,,,2025-08-05,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1503-taco-tripler/,
20.0,MONOPOLY 100X,1475,500000,3.03,10,6,Available,309939.0,,,2024-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1475-monopoly-100x/,
30.0,Ultimate Riches,1502,3500000,2.76,3,2,Available,703113.3,,,2025-09-02,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1502-ultimate-riches/,
5.0,Sizzling Red Hot 7`s,1479,50000,3.68,9,4,Available,331226.7,,,2025-02-04,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1479-sizzling-red-hot-7`s/,
3.0,Cosmic Cash Lines,1498,20000,3.75,10,2,Available,272400.0,,,2025-06-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1498-cosmic-cash-lines/,
10.0,Money Maker,1476,100000,3.51,7,2,Available,294917.2,,,2024-12-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1476-money-maker/,
5.0,50X The Cash,1520,50000,3.71,10,5,Available,352026.0,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1520-50x-the-cash/,
10.0,"$50, $100 or $200",1527,200,8.89,6687,4084,Available,300.82,,,2026-02-03,2099-12-31,2099-12-31,2026-03-31,"https://www.arizonalottery.com/scratchers/1527-50,-100-or-200/",
2.0,Red Hot 7s,1454,7777,3.97,21,1,Available,247364.3,,,2024-09-16,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1454-red-hot-7s/,
10.0,$100 Grand Crossword,1460,100000,3.42,24,1,Available,277950.0,,,2024-11-05,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1460-100-grand-crossword/,
20.0,Cash Countdown,1509,250000,2.87,5,0,Top Prize Claimed,210810.0,,,2025-09-30,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1509-cash-countdown/,
50.0,"$5,000,000 Luxe",1480,5000000,2.83,4,3,Available,1326532.0,,,2025-02-04,2099-12-31,2099-12-31,2026-03-31,"https://www.arizonalottery.com/scratchers/1480-5,000,000-luxe/",
10.0,Triple Red 7`s,1465,100000,3.48,22,3,Available,260888.2,,,2024-10-01,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1465-triple-red-7`s/,
50.0,SET FOR LIFE,1401,5000000,2.18,6,3,Available,886248.0,,,2023-01-31,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1401-set-for-life/,
5.0,Rodeo Riches Crossword,1530,50000,3.43,24,22,Available,335875.0,,,2026-03-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1530-rodeo-riches-crossword/,
5.0,Sunken Treasure Crossword,1478,50000,3.48,24,2,Available,348282.2,,,2025-02-04,2026-04-07,2026-10-04,2026-03-31,https://www.arizonalottery.com/scratchers/1478-sunken-treasure-crossword/,
5.0,The Wizard of Oz,1513,50000,3.53,5,1,Available,392832.0,,,2025-11-04,2026-04-07,2026-10-04,2026-03-31,https://www.arizonalottery.com/scratchers/1513-the-wizard-of-oz/,
20.0,Loaded CASH EXPLOSION®,1490,2500000,3.1,4,3,Available,2763465.0,,,2025-04-01,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1490-loaded-cash-explosion®/,
10.0,Triple Red 7`s,1508,100000,3.45,22,12,Available,274576.4,,,2025-09-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1508-triple-red-7`s/,
2.0,Red Hot 7s,1501,7777,3.98,22,18,Available,259786.4,,,2025-09-17,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1501-red-hot-7s/,
30.0,Millionaire Extraordinaire,1431,1000000,2.63,4,1,Available,510665.0,,,2023-11-07,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1431-millionaire-extraordinaire/,
20.0,Strike It Rich,1496,500000,3.06,7,4,Available,310958.6,,,2025-07-01,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,
30.0,Million Dollar Crossword,1491,1000000,2.3,7,3,Available,319711.4,,,2025-06-03,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1491-million-dollar-crossword/,
2.0,Crossword,1420,10000,3.68,20,1,Available,377707.5,,,2024-11-25,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1420-crossword/,
1.0,Happy Holidays,1504,500,4.29,64,15,Available,56920.31,,,2025-09-30,2026-01-06,2026-07-05,2026-03-31,https://www.arizonalottery.com/scratchers/1504-happy-holidays/,
10.0,All Cash,1499,100000,3.53,7,4,Available,303762.9,,,2025-08-05,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1499-all-cash/,
3.0,Bonus Card Bingo,1517,20000,3.61,9,3,Available,318433.3,,,2025-12-02,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1517-bonus-card-bingo/,
20.0,200X The Cash,1522,500000,3.05,7,6,Available,341425.7,,,2025-12-30,2099-12-31,2099-12-31,2026-03-31,https://www.arizonalottery.com/scratchers/1522-200x-the-cash/,
