,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1401,SET FOR LIFE,5000000,6.0,3.0,1.6199325136114829e-06,0.5,5.63410092465911,8.099581571431735,2025-08-08 08:00:23.837000
1,1401,SET FOR LIFE,10000,392.0,135.0,7.289696311251673e-05,0.34438775510204084,0.7325155667070135,0.7253247829695414,2025-08-08 08:00:23.837000
2,1401,SET FOR LIFE,1000,4925.0,1720.0,0.0009287613078039169,0.349238578680203,0.8786937769793969,0.8823232424137211,2025-08-08 08:00:23.837000
3,1401,SET FOR LIFE,500,93517.0,31913.0,0.017232302102294417,0.34125346193740175,7.90334227599295,7.754535946032488,2025-08-08 08:00:23.837000
4,1401,SET FOR LIFE,100,275755.0,94614.0,0.05108943161427895,0.3431089191492448,2.5894117282495706,2.5544715807139475,2025-08-08 08:00:23.837000
5,1401,SET FOR LIFE,60,516983.0,179750.0,0.09706095644055468,0.3476903495859632,0.9709211753227667,0.9706095644055468,2025-08-08 08:00:23.837000
6,1401,SET FOR LIFE,50,1550929.0,541374.0,0.292329781541301,0.3490643349889002,0.0,0.0,2025-08-08 08:00:23.837000
7,1401,SET FOR LIFE,0,2882158.2600000007,1002420.6200000001,0.5412845848841937,0.34780207385280776,-27.064221505014874,-27.064229244209688,2025-08-08 08:00:23.837000
8,1401,SET FOR LIFE,Total,5324665.260000001,1851929.62,1.0000003347860529,0.34780207385280776,,,2025-08-08 08:00:23.837000
0,1431,Millionaire Extraordinaire,1000000,4.0,1.0,2.335946478794278e-06,0.25,1.9553349002553744,2.335876400399914,2025-08-08 08:00:28.120000
1,1431,Millionaire Extraordinaire,50000,7.0,2.0,4.671892957588556e-06,0.2857142857142857,0.1709942785184374,0.23345449109070013,2025-08-08 08:00:28.120000
2,1431,Millionaire Extraordinaire,5000,20.0,4.0,9.343785915177111e-06,0.2,0.04859153001724657,0.046438615998430244,2025-08-08 08:00:28.120000
3,1431,Millionaire Extraordinaire,1000,203.0,46.0,0.00010745353802453678,0.22660098522167488,0.09625913657641874,0.10422993188380067,2025-08-08 08:00:28.120000
4,1431,Millionaire Extraordinaire,500,12661.0,2641.0,0.006169234650495688,0.20859331806334414,2.908975451989222,2.8995402857329733,2025-08-08 08:00:28.120000
5,1431,Millionaire Extraordinaire,100,100953.0,20767.0,0.04851060052512077,0.20570958762988717,3.454549809740206,3.395742036758454,2025-08-08 08:00:28.120000
6,1431,Millionaire Extraordinaire,50,204266.0,42790.0,0.09995514982760716,0.20948175418327084,1.997102106741024,1.9991029965521432,2025-08-08 08:00:28.120000
7,1431,Millionaire Extraordinaire,40,459690.0,96522.0,0.22547022602618128,0.20997193761012856,2.2471871663609737,2.254702260261813,2025-08-08 08:00:28.120000
8,1431,Millionaire Extraordinaire,0,1267820.52,265319.99,0.619773296394233,0.20927251595517635,-18.593160619937976,-18.59319889182699,2025-08-08 08:00:28.120000
9,1431,Millionaire Extraordinaire,Total,2045624.52,428092.99,1.0000023125870139,0.20927251595517637,,,2025-08-08 08:00:28.120000
0,1441,Double Bingo,10000,16.0,5.0,1.8521001704672996e-06,0.3125,0.025098984307643304,0.01851729750433206,2025-08-08 08:00:35.137000
1,1441,Double Bingo,1000,20.0,12.0,4.445040409121519e-06,0.6,0.003131724637305964,0.004436150328303276,2025-08-08 08:00:35.137000
2,1441,Double Bingo,250,109.0,48.0,1.7780161636486076e-05,0.44036697247706424,0.0042413216631089585,0.0044094800858485465,2025-08-08 08:00:35.137000
3,1441,Double Bingo,100,1334.0,511.0,0.00018928463742175802,0.3830584707646177,0.020511854974162486,0.018549894467332285,2025-08-08 08:00:35.137000
4,1441,Double Bingo,50,2664.0,1041.0,0.0003856072554912918,0.39076576576576577,0.0200631208828451,0.018509148263582006,2025-08-08 08:00:35.137000
5,1441,Double Bingo,40,7416.0,2798.0,0.0010364352553935009,0.3772923408845739,0.044215684197891736,0.03938453970495304,2025-08-08 08:00:35.137000
6,1441,Double Bingo,25,21285.0,8181.0,0.003030406298918596,0.3843551797040169,0.0768111951310782,0.0696993448751277,2025-08-08 08:00:35.137000
7,1441,Double Bingo,20,42544.0,17065.0,0.0063212178818048935,0.40111414065438133,0.12015278925109261,0.11378192187248809,2025-08-08 08:00:35.137000
8,1441,Double Bingo,10,170176.0,68616.0,0.025416741059356845,0.40320609251598344,0.2136049586686091,0.20333392847485476,2025-08-08 08:00:35.137000
9,1441,Double Bingo,5,191435.0,81674.0,0.030253685864549247,0.4266408963878079,0.09010847283707422,0.09076105759364775,2025-08-08 08:00:35.137000
10,1441,Double Bingo,4,361563.0,146222.0,0.0541635582252139,0.4044163811009423,0.11345849248880323,0.1083271164504278,2025-08-08 08:00:35.137000
11,1441,Double Bingo,2,957219.0,417529.0,0.15466110641500824,0.4361896284967181,0.0,0.0,2025-08-08 08:00:35.137000
12,1441,Double Bingo,0,4617704.03,1955936.2599999998,0.7245179761138344,0.42357332719741236,-1.4490358194927893,-1.4490359522276688,2025-08-08 08:00:35.137000
13,1441,Double Bingo,Total,6373485.03,2699638.26,1.0000000963092088,0.42357332719741236,,,2025-08-08 08:00:35.137000
0,1444,Cactus Crossword,50000,24.0,6.0,2.654642904073151e-06,0.25,0.14892789121218947,0.1327188719891372,2025-08-08 08:00:36.237000
1,1444,Cactus Crossword,2500,134.0,37.0,1.63702979084511e-05,0.27611940298507465,0.041496701227598846,0.04084389328158549,2025-08-08 08:00:36.237000
2,1444,Cactus Crossword,100,13391.0,3300.0,0.0014600535972402332,0.24643417220521247,0.15789734987342965,0.13870509173782214,2025-08-08 08:00:36.237000
3,1444,Cactus Crossword,50,31298.0,7758.0,0.003432453274966585,0.2478752635951179,0.17481042376084255,0.15446039737349632,2025-08-08 08:00:36.237000
4,1444,Cactus Crossword,40,53751.0,13459.0,0.005954806474320091,0.2503953414820189,0.23350319016828675,0.20841822660120318,2025-08-08 08:00:36.237000
5,1444,Cactus Crossword,25,134348.0,33995.0,0.015040764253994462,0.25303688927263523,0.3335027557518291,0.30081528507988925,2025-08-08 08:00:36.237000
6,1444,Cactus Crossword,20,268696.0,68699.0,0.03039521881115357,0.2556755589960401,0.5002541336277436,0.4559282821673035,2025-08-08 08:00:36.237000
7,1444,Cactus Crossword,10,638143.0,174381.0,0.07715321404253003,0.2732632027617634,0.39602831650590153,0.3857660702126502,2025-08-08 08:00:36.237000
8,1444,Cactus Crossword,5,1209132.0,357313.0,0.15808973666384832,0.29551198711141546,0.0,0.0,2025-08-08 08:00:36.237000
9,1444,Cactus Crossword,0,5707868.3100000005,1601243.6400000001,0.708455011103044,0.2805326880430428,-3.5422741887738103,-3.54227505551522,2025-08-08 08:00:36.237000
10,1444,Cactus Crossword,Total,8056785.3100000005,2260191.64,1.00000028316191,0.2805326880430428,,,2025-08-08 08:00:36.237000
0,1454,Red Hot 7s,7777,21.0,3.0,2.077373867052227e-06,0.14285714285714285,0.03143133415738518,0.016151581816331067,2025-08-08 08:00:39.620000
1,1454,Red Hot 7s,777,127.0,31.0,2.146619662620635e-05,0.2440944881889764,0.018947353020613296,0.01663630238530992,2025-08-08 08:00:39.620000
2,1454,Red Hot 7s,70,9521.0,2006.0,0.001389070659102256,0.21069215418548473,0.12463344548061595,0.0944568048189534,2025-08-08 08:00:39.620000
3,1454,Red Hot 7s,28,17271.0,3839.0,0.0026583460918711667,0.22228012274911702,0.08644382102610433,0.06911699838865033,2025-08-08 08:00:39.620000
4,1454,Red Hot 7s,14,69300.0,16541.0,0.011453947044970297,0.2386868686868687,0.1600875668980647,0.13744736453964357,2025-08-08 08:00:39.620000
5,1454,Red Hot 7s,10,103944.0,25410.0,0.017595356653932366,0.24445855460632648,0.16007832663446306,0.14076285323145893,2025-08-08 08:00:39.620000
6,1454,Red Hot 7s,7,138524.0,34509.0,0.02389603159270177,0.24911928618867488,0.13333315366154108,0.11948015796350886,2025-08-08 08:00:39.620000
7,1454,Red Hot 7s,3,311679.0,86949.0,0.060208526788774704,0.2789697092200629,0.05999991914769349,0.060208526788774704,2025-08-08 08:00:39.620000
8,1454,Red Hot 7s,2,658091.0,194473.0,0.13466437601574927,0.29551080321718426,0.0,0.0,2025-08-08 08:00:39.620000
9,1454,Red Hot 7s,0,3886179.66,1080370.1700000002,0.7481109193002575,0.2780031456394376,-1.4962218525688993,-1.496221838600515,2025-08-08 08:00:39.620000
10,1454,Red Hot 7s,Total,5194657.66,1444131.1700000002,1.0000001177178526,0.2780031456394376,,,2025-08-08 08:00:39.620000
0,1455,Million Dollar Crossword,1000000,7.0,4.0,8.774816277284194e-06,0.5714285714285714,2.928683170151974,8.774553032795875,2025-08-08 08:00:39.917000
1,1455,Million Dollar Crossword,25000,12.0,2.0,4.387408138642097e-06,0.16666666666666666,0.12536813605898714,0.10955358122189315,2025-08-08 08:00:39.917000
2,1455,Million Dollar Crossword,5000,24.0,5.0,1.0968520346605243e-05,0.20833333333333334,0.04990625840714185,0.05451354612262806,2025-08-08 08:00:39.917000
3,1455,Million Dollar Crossword,2500,76.0,12.0,2.632444883185258e-05,0.15789473684210525,0.07854127119541136,0.06502138861467588,2025-08-08 08:00:39.917000
4,1455,Million Dollar Crossword,1000,197.0,38.0,8.336075463419984e-05,0.19289340101522842,0.07995126525000618,0.08085993199517384,2025-08-08 08:00:39.917000
5,1455,Million Dollar Crossword,500,6969.0,1244.0,0.0027289678622353843,0.17850480700243937,1.3704263579351494,1.2826148952506307,2025-08-08 08:00:39.917000
6,1455,Million Dollar Crossword,250,12992.0,2333.0,0.005117911593726006,0.17957204433497537,1.1958757883101032,1.1259405506197213,2025-08-08 08:00:39.917000
7,1455,Million Dollar Crossword,100,39991.0,7237.0,0.015875836349676428,0.18096571728638944,1.1712448239201934,1.1113085444773498,2025-08-08 08:00:39.917000
8,1455,Million Dollar Crossword,75,79791.0,14643.0,0.032122408687068116,0.18351693800052638,1.5022900897500961,1.4455083909180653,2025-08-08 08:00:39.917000
9,1455,Million Dollar Crossword,50,219213.0,40451.0,0.08873752330810573,0.18452828983682537,1.8343562414830292,1.7747504661621147,2025-08-08 08:00:39.917000
10,1455,Million Dollar Crossword,40,297091.0,55626.0,0.12202698256005265,0.1872355608214318,1.2430164500701022,1.2202698256005264,2025-08-08 08:00:39.917000
11,1455,Million Dollar Crossword,30,382803.0,76601.0,0.16803992541406165,0.20010553731292596,0.0,0.0,2025-08-08 08:00:39.917000
12,1455,Million Dollar Crossword,0,1350915.7999999998,257654.8,0.5652183832401009,0.19072602452351214,-16.956527414761254,-16.956551497203026,2025-08-08 08:00:39.917000
13,1455,Million Dollar Crossword,Total,2390081.8,455850.8,1.0000017549632554,0.19072602452351214,,,2025-08-08 08:00:39.917000
0,1459,"$500,000 Gold Rush",500000,7.0,1.0,3.4149973021521314e-06,0.14285714285714285,1.5888579377070138,1.7074303511300226,2025-08-08 08:00:41.980000
1,1459,"$500,000 Gold Rush",10000,10.0,1.0,3.4149973021521314e-06,0.1,0.04530696147364751,0.03408167307547827,2025-08-08 08:00:41.980000
2,1459,"$500,000 Gold Rush",1000,111.0,19.0,6.48849487408905e-05,0.17117117117117117,0.04938368005113603,0.06358724976607269,2025-08-08 08:00:41.980000
3,1459,"$500,000 Gold Rush",500,7348.0,893.0,0.003049592590821853,0.12152966793685356,1.6011970480562496,1.4638044435944895,2025-08-08 08:00:41.980000
4,1459,"$500,000 Gold Rush",250,14691.0,1840.0,0.006283595035959922,0.12524674971070723,1.5339584301818816,1.4452268582707821,2025-08-08 08:00:41.980000
5,1459,"$500,000 Gold Rush",100,44081.0,5457.0,0.01863564027784418,0.1237948322406479,1.600942820617119,1.4908512222275343,2025-08-08 08:00:41.980000
6,1459,"$500,000 Gold Rush",50,63741.0,8124.0,0.027743438082683914,0.1274532875229444,0.8681095284444186,0.8323031424805174,2025-08-08 08:00:41.980000
7,1459,"$500,000 Gold Rush",40,68670.0,8780.0,0.029983676312895714,0.12785787097713702,0.6234927944680109,0.5996735262579143,2025-08-08 08:00:41.980000
8,1459,"$500,000 Gold Rush",25,202020.0,27517.0,0.0939704807633202,0.1362092862092862,0.45856274333197744,0.469852403816601,2025-08-08 08:00:41.980000
9,1459,"$500,000 Gold Rush",20,312186.0,42134.0,0.1438874963288779,0.13496441224142017,0.0,0.0,2025-08-08 08:00:41.980000
10,1459,"$500,000 Gold Rush",0,1489887.85,198060.94,0.6763775757617152,0.13293681131771093,-13.52751331062235,-13.527551515234304,2025-08-08 08:00:41.980000
11,1459,"$500,000 Gold Rush",Total,2202752.85,292826.94,1.000003210097464,0.13293681131771093,,,2025-08-08 08:00:41.980000
0,1465,Triple Red 7`s,100000,22.0,8.0,5.157310874963576e-06,0.36363636363636365,0.38329376010276084,0.515679514387608,2025-08-08 08:00:43.477000
1,1465,Triple Red 7`s,10000,29.0,6.0,3.867983156222682e-06,0.20689655172413793,0.050479609433384635,0.03864115173066459,2025-08-08 08:00:43.477000
2,1465,Triple Red 7`s,1000,238.0,37.0,2.385256279670654e-05,0.15546218487394958,0.04105486719372506,0.023614037168739475,2025-08-08 08:00:43.477000
3,1465,Triple Red 7`s,500,3832.0,960.0,0.0006188773049956292,0.25052192066805845,0.32717045680465867,0.3032498794478583,2025-08-08 08:00:43.477000
4,1465,Triple Red 7`s,300,9568.0,2394.0,0.0015433252793328502,0.25020903010033446,0.48347237543405824,0.44756433100652654,2025-08-08 08:00:43.477000
5,1465,Triple Red 7`s,100,47794.0,12050.0,0.007768199505413887,0.2521236975352555,0.7494943936810143,0.6991379554872498,2025-08-08 08:00:43.477000
6,1465,Triple Red 7`s,50,99851.0,25694.0,0.016563993202664266,0.2573234118837067,0.6959289608964674,0.6625597281065707,2025-08-08 08:00:43.477000
7,1465,Triple Red 7`s,30,172573.0,45325.0,0.029219389425965515,0.2626424759377191,0.6013888121740697,0.5843877885193103,2025-08-08 08:00:43.477000
8,1465,Triple Red 7`s,25,310929.0,81758.0,0.05270642781440901,0.26294748961981673,0.8126527121006965,0.7905964172161352,2025-08-08 08:00:43.477000
9,1465,Triple Red 7`s,15,382704.0,102609.0,0.0661483139461422,0.26811582842092063,0.3334152850884339,0.330741569730711,2025-08-08 08:00:43.477000
10,1465,Triple Red 7`s,10,621641.0,174905.0,0.11275493232318805,0.2813601419468793,0.0,0.0,2025-08-08 08:00:43.477000
11,1465,Triple Red 7`s,0,4089968.88,1105450.08,0.7126437149141696,0.2702832496857531,-7.126437874325967,-7.126437149141696,2025-08-08 08:00:43.477000
12,1465,Triple Red 7`s,Total,5739149.88,1551196.08,1.000000051573109,0.2702832496857531,,,2025-08-08 08:00:43.477000
0,1466,Instant Millions,35000000,3.0,1.0,1.576061516833125e-06,0.3333333333333333,51.97256341276893,55.16210580731387,2025-08-08 08:00:43.977000
1,1466,Instant Millions,50000,6.0,2.0,3.15212303366625e-06,0.3333333333333333,0.14840406970269193,0.15751158799230253,2025-08-08 08:00:43.977000
