,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,$30,100X THE MONEY,2021,7000000,"2,611,200",2.77,3,,eXTRA Chances,,1/5/2021,,,2021-04-25
0,$30,100X THE MONEY,1895,7000000,"2,611,200",2.77,1,,eXTRA Chances,,8/7/2018,,,2021-04-25
0,$30,CASH BLAST,2050,52000,"58,752",3.76,21,,eXTRA Chances,,10/6/2020,,,2021-04-25
0,$30,Commonwealth,2089,1000000,"1,060,800",2.92,2,,,2nd Chance,3/2/2021,,,2021-04-25
0,$30,EXTREME MILLIONS,1841,10000000,"2,937,600",2.97,1,,,2nd Chance,10/3/2017,,,2021-04-25
0,$30,MILLIONAIRE MAKER,2023,1000000,"244,800",2.78,0,Top Prize Claimed,eXTRA Chances,,1/7/2020,,,2021-04-25
0,$20,$1 MILLION ROYALE,2017,1000000,"979,200",3.72,2,,eXTRA Chances,,8/4/2020,,,2021-04-25
0,$20,"$30,000 CASH PARTY",1888,30000,"16,320",3.12,88,,eXTRA Chances,,8/7/2018,,,2021-04-25
0,$20,$5 MILLION DOLLAR SERIES,1828,5000000,"1,530,000",3.05,2,,,,9/3/2019,,,2021-04-25
0,$20,50X THE MONEY,2010,5000000,"1,795,200",3.03,2,,eXTRA Chances,,6/3/2020,,,2021-04-25
0,$20,LUCKY 7S CASH BLOWOUT,2027,2777777,"979,200",3.11,1,,eXTRA Chances,,2/4/2020,,,2021-04-25
0,$20,MONEY,2056,2000000,"979,200",3.58,2,,,,11/3/2020,,,2021-04-25
0,$20,PREMIER CASH,1985,500000,"652,800",3.05,0,Top Prize Claimed,eXTRA Chances,,12/3/2019,,,2021-04-25
0,$20,SUPER CASH FRENZY,1874,4000000,"1,285,200",4.47,2,,eXTRA Chances,,3/6/2018,,,2021-04-25
0,$10,"$1,000 Cash Dash",1826,1000,897,3.48,223,,eXTRA Chances,,7/7/2020,,,2021-04-25
0,$10,"$31,000,000 Payout",1767,1000000,"1,101,600",3.52,1,,,,4/7/2020,,,2021-04-25
0,$10,"$38,000,000 Blowout",2055,500,"1,530",9.35,645,,eXTRA Chances,,11/3/2020,,,2021-04-25
0,$10,"$50,000,000 MEGA BLOWOUT",2094,500,"1,530",9.35,4286,,eXTRA Chances,,4/6/2021,,,2021-04-25
0,$10,"$500,000 Ca$h Cha$er",2033,500000,"652,800",3.74,1,,,2nd Chance,6/2/2020,1/15/2021,7/14/2021,2021-04-25
0,$10,"$500,000 CASH",2048,500000,"1,468,800",3.56,2,,eXTRA Chances,,9/1/2020,,,2021-04-25
0,$10,20X THE MONEY,2065,1000000,"1,224,000",3.65,2,,eXTRA Chances,,1/5/2021,,,2021-04-25
0,$10,20X THE MONEY,1998,1000000,"1,224,000",3.51,0,Top Prize Claimed,eXTRA Chances,,12/30/2019,,,2021-04-25
0,$10,DOUBLE CASH DOUBLER,1950,1000000,"1,162,800",3.48,1,,eXTRA Chances,,7/2/2019,,,2021-04-25
0,$10,DOUBLE DOLLAR CROSSWORD,2041,250000,"652,800",3.64,2,,eXTRA Chances,,8/4/2020,,,2021-04-25
0,$10,ELECTRIC 7s SUPER TICKET,2067,777777,"1,224,000",3.94,2,,eXTRA Chances,,2/2/2021,,,2021-04-25
0,$10,LUCKY 7S MULTIPLIER,1997,777777,"734,400",3.27,0,Top Prize Claimed,eXTRA Chances,,3/3/2020,,,2021-04-25
0,$10,Million Series,2061,1000000,"1,305,600",3.91,1,,eXTRA Chances,,12/1/2020,,,2021-04-25
0,$5,"$100,000 CASH",2046,100000,"1,468,800",4.19,1,,eXTRA Chances,,9/1/2020,,,2021-04-25
0,$5,$15 MILLION UP FOR GRABS,2025,150000,"1,224,000",4.18,2,,eXTRA Chances,,8/4/2020,,,2021-04-25
0,$5,"$150,000 Ca$h Cha$er",2032,150000,"1,305,600",4.29,0,Top Prize Claimed,,2nd Chance,6/2/2020,,,2021-04-25
0,$5,"$5,000 OVERLOAD",1963,5000,"13,872",4.39,50,,,,11/5/2019,,,2021-04-25
0,$5,$500 ALL CASH,1992,500,575,4.28,157,,eXTRA Chances,,2/4/2020,,,2021-04-25
0,$5,10X The Money,2064,100000,"1,958,400",4.48,3,,eXTRA Chances,,1/5/2021,,,2021-04-25
0,$5,10X THE MONEY,1990,100000,"1,571,714",4.26,0,Top Prize Claimed,eXTRA Chances,,11/14/2019,,,2021-04-25
0,$5,BLAZIN HOT CROSSWORD 5X,2084,100000,"1,224,000",3.83,1,,,,12/1/2020,,,2021-04-25
