,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,30,100X THE MONEY,2021,7000000,"2,611,200",2.77,2,,eXTRA Chances,,1/5/2021,,,2022-06-17
0,30,Commonwealth,2089,1000000,"1,060,800",2.92,1,,,2nd Chance,3/2/2021,,,2022-06-17
0,30,"$5,000,000 Ultimate",2092,5000000,"2,448,000",2.95,2,,,,10/5/2021,,,2022-06-17
0,30,"$173,000,000 Extravaganza",2143,5000000,"2,529,600",3.08,3,,,,4/5/2022,,,2022-06-17
0,30,Instant Millionaire,2138,1000000,"1,224,000",3.91,2,,,,2/1/2022,,,2022-06-17
0,30,EXTREME MILLIONS,1841,10000000,"2,937,600",2.97,0,Top Prize Claimed,,2nd Chance,10/3/2017,,,2022-06-17
0,30,CASH BLAST,2050,52000,"58,752",3.76,0,Top Prize Claimed,eXTRA Chances,,10/6/2020,,,2022-06-17
0,20,50X THE MONEY,2010,5000000,"1,795,200",3.03,0,Top Prize Claimed,eXTRA Chances,,6/3/2020,,,2022-06-17
0,20,$1 MILLION ROYALE,2017,1000000,"979,200",3.72,2,,eXTRA Chances,,8/4/2020,,,2022-06-17
0,20,$5 MILLION DOLLAR SERIES,1828,5000000,"1,530,000",3.05,1,,,,9/3/2019,,,2022-06-17
0,20,MONEY,2056,2000000,"979,200",3.58,1,,,,11/3/2020,,,2022-06-17
0,20,SUPER CASH FRENZY,1874,4000000,"1,285,200",4.47,2,,eXTRA Chances,,3/6/2018,,,2022-06-17
0,20,"$30,000 CASH PARTY",1888,30000,"16,320",3.12,67,,eXTRA Chances,,8/7/2018,4/15/2022,10/12/2022,2022-06-17
0,20,Supreme Riches,2151,2000000,"1,428,000",3.65,3,,,,5/3/2022,,,2022-06-17
0,20,"$70,000,000 EXPLOSION",2119,600,"1,224",9.13,713,,,,8/3/2021,,,2022-06-17
0,20,50X The Money,2148,3000000,"1,836,000",3.03,4,,eXTRA Chances,,3/1/2022,,,2022-06-17
0,20,Colossal Cash,2097,2000000,"1,020,000",3.21,1,,,,6/1/2021,,,2022-06-17
0,20,"$2,000,000 Bonus Multiplier",2122,2000000,"1,387,200",3.35,2,,,,12/7/2021,,,2022-06-17
0,20,"$100,000,000 Explosion",2165,600,"1,224",9.13,5585,,eXTRA Chances,,6/7/2022,,,2022-06-17
0,10,20X The Money,2128,1000000,"1,754,400",3.65,2,,eXTRA Chances,,10/22/2021,,,2022-06-17
0,10,"$300,000 Crossword Inferno",2164,300000,"734,400",3.43,3,,,,5/3/2022,,,2022-06-17
0,10,Mega 777s,2126,777777,"1,836,000",3.45,2,,eXTRA Chances,,1/4/2022,,,2022-06-17
