,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,2034,PROMOTIONAL GAME,50,2037.0,1164.0,0.007911370896486102,0.5714285714285714,0.4993479305374425,0.3955685448243051,2025-07-23
1,2034,PROMOTIONAL GAME,20,3071.0,1861.0,0.012648678039828724,0.6059915337023771,0.301128619475795,0.25297356079657446,2025-07-23
2,2034,PROMOTIONAL GAME,10,5105.0,3275.0,0.02225922653435737,0.6415279138099902,0.250286812507967,0.2225922653435737,2025-07-23
3,2034,PROMOTIONAL GAME,5,20389.0,14052.0,0.0955073744307755,0.6891951542498406,0.49981369443926926,0.4775368721538775,2025-07-23
4,2034,PROMOTIONAL GAME,2,40754.0,29887.0,0.20313328349079046,0.7333513274770574,0.39961562221154506,0.4062665669815809,2025-07-23
5,2034,PROMOTIONAL GAME,1,30627.0,23326.0,0.15854006660776185,0.7616155679629085,0.1501573791710383,0.15854006660776185,2025-07-23
6,2034,PROMOTIONAL GAME,0,101983.0,73565.0,0.5,0.7213457144818254,0.0,0.0,2025-07-23
7,2034,PROMOTIONAL GAME,Total,203966.0,147130.0,1.0,0.7213457144818254,,,2025-07-23
0,2126,Mega 777s,777777,3.0,1.0,5.007491206845441e-07,0.3333333333333333,0.42445564173943606,0.38946614134745583,2025-07-23
1,2126,Mega 777s,5000,10.0,2.0,1.0014982413690882e-06,0.2,0.00907741286820597,0.00499747622443175,2025-07-23
2,2126,Mega 777s,2000,45.0,15.0,7.511236810268161e-06,0.3333333333333333,0.01629022690075841,0.014947361252433641,2025-07-23
3,2126,Mega 777s,500,2289.0,802.0,0.00040160079478900436,0.3503713411970293,0.20403440976169337,0.19678438944661214,2025-07-23
4,2126,Mega 777s,200,4612.0,1646.0,0.0008242330526467595,0.3568950563746748,0.15940591880063182,0.15660428000288432,2025-07-23
5,2126,Mega 777s,100,36685.0,13095.0,0.0065573097353641046,0.3569578846940166,0.6006100239741933,0.5901578761827694,2025-07-23
6,2126,Mega 777s,77,60426.0,21772.0,0.010902309855543893,0.3603084764836329,0.7364787023701871,0.7304547603214409,2025-07-23
7,2126,Mega 777s,50,114531.0,41123.0,0.020592306089910507,0.3590556268608499,0.8333829043755494,0.8236922435964202,2025-07-23
8,2126,Mega 777s,25,137489.0,49576.0,0.024825138407056958,0.36058157379863115,0.3751636526563439,0.37237707610585435,2025-07-23
9,2126,Mega 777s,20,343778.0,124192.0,0.0621890347960549,0.36125639220659844,0.6253737156324873,0.621890347960549,2025-07-23
10,2126,Mega 777s,15,343778.0,125265.0,0.06272633860254942,0.3643775925161005,0.31268685781624367,0.31363169301274707,2025-07-23
11,2126,Mega 777s,10,549734.0,201354.0,0.10082783844631568,0.3662753258848825,0.0,0.0,2025-07-23
12,2126,Mega 777s,0,3903781.0,1418165.35,0.7101450519977888,0.36327994577564676,-7.101449275362319,-7.101450519977888,2025-07-23
13,2126,Mega 777s,Total,5497161.0,1997008.35,1.0000001752621923,0.36327994577564676,,,2025-07-23
0,2136,MONOPOLY FORTUNES,200000,3.0,1.0,5.808050887818659e-07,0.3333333333333333,0.10140728092057126,0.11615811373092927,2025-07-23
