Game Number,Game Name,Cost,Longest Losing Streak,Optimal Bankroll,Risk Coefficient,Prize Types,Standard Deviations,Cluster Size,Expected Any Prize Probability,Expected Profit Prize Probability,Number of Tickets Simulated,Number of Clusters Simulated,Number of Prizes Won,Number of Profit Prizes Won,Observed Prize Frequency,Observed Profit Prize Frequency,Average Ticket Outcome,Median Ticket Outcome,StdDev Ticket Outcome,StdDev Value of Prizes Won,StdDev Value of Profit Prizes Won,Final Tally,Descriptive Stats of Prizes Won
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,0.263,0.131,1104,92,297,154,0.26902173913043476,0.13949275362318841,1.661231884057971,0.0,4.590603659729571,7.103585575131588,8.903033134164163,-1478.0,"{'count': 297.0, 'mean': 6.175084175084175, 'std': 7.115574757628798, 'min': 3.0, '25%': 3.0, '50%': 5.0, '75%': 5.0, 'max': 50.0}"
1439,Bonus Word Crossword,3.0,7,31.5,1.5,profit,2,9,0.284,0.154,1107,123,299,153,0.27009936766034326,0.13821138211382114,1.7443541102077686,0.0,5.340159267811271,8.668211139774431,11.159582853373971,-1390.0,"{'count': 299.0, 'mean': 6.45819397993311, 'std': 8.682742937301876, 'min': 3.0, '25%': 3.0, '50%': 5.0, '75%': 6.0, 'max': 100.0}"
1401,SET FOR LIFE,50.0,6,450.0,1.5,profit,2,11,0.45899999999999996,0.16699999999999998,1111,101,540,172,0.48604860486048607,0.1548154815481548,36.759675967596756,0.0,73.64213241413955,90.65283724110806,146.24690000088958,-14710.0,"{'count': 540.0, 'mean': 75.62962962962963, 'std': 90.73689181386302, 'min': 50.0, '25%': 50.0, '50%': 50.0, '75%': 60.0, 'max': 500.0}"
1470,Arizona Treasure Hunt,3.0,8,36.0,1.5,profit,2,12,0.263,0.136,1104,92,292,142,0.2644927536231884,0.1286231884057971,1.9202898550724639,0.0,5.9267101050757685,9.69716438889292,12.407363543683962,-1192.0,"{'count': 292.0, 'mean': 7.260273972602739, 'std': 9.713811893661372, 'min': 3.0, '25%': 3.0, '50%': 3.0, '75%': 5.0, 'max': 100.0}"
1431,Millionaire Extraordinaire,30.0,1,45.0,1.5,profit,2,4,0.38,0.38,1108,277,411,411,0.37093862815884476,0.37093862815884476,22.27436823104693,0.0,49.12105241814196,65.08835519810081,65.08835519810081,-8560.0,"{'count': 411.0, 'mean': 60.04866180048662, 'std': 65.16768289993375, 'min': 40.0, '25%': 40.0, '50%': 40.0, '75%': 50.0, 'max': 500.0}"
1454,Red Hot 7s,2.0,11,33.0,1.5,profit,2,12,0.252,0.121,1116,93,268,128,0.24014336917562723,0.11469534050179211,1.310931899641577,0.0,5.0457678272675714,9.131001095060448,12.131278074252677,-769.0,"{'count': 268.0, 'mean': 5.458955223880597, 'std': 9.148084367423225, 'min': 2.0, '25%': 2.0, '50%': 2.0, '75%': 7.0, 'max': 70.0}"
1463,Corner Cash Crossword,3.0,7,31.5,1.5,profit,2,8,0.292,0.16699999999999998,1112,139,326,193,0.2931654676258993,0.1735611510791367,1.7877697841726619,0.0,3.999990295521586,5.318926414953083,6.050952809834426,-1348.0,"{'count': 326.0, 'mean': 6.098159509202454, 'std': 5.327103093746319, 'min': 3.0, '25%': 3.0, '50%': 5.0, '75%': 6.0, 'max': 50.0}"
1453,Lady Luck,10.0,5,75.0,1.5,profit,2,8,0.307,0.18600000000000003,1104,138,335,200,0.30344202898550726,0.18115942028985507,6.105072463768116,0.0,20.252075658386474,32.70607337276165,40.93833777768707,-4300.0,"{'count': 335.0, 'mean': 20.119402985074625, 'std': 32.75499796760908, 'min': 10.0, '25%': 10.0, '50%': 15.0, '75%': 20.0, 'max': 500.0}"
1381,Cash,30.0,6,270.0,1.5,profit,2,9,0.369,0.16699999999999998,1107,123,372,175,0.33604336043360433,0.15808491418247517,18.66305329719964,0.0,53.4046044697701,80.24479471140134,110.12423411209502,-12550.0,"{'count': 372.0, 'mean': 55.53763440860215, 'std': 80.35286855796757, 'min': 30.0, '25%': 30.0, '50%': 30.0, '75%': 50.0, 'max': 500.0}"
1444,Cactus Crossword,5.0,9,67.5,1.5,profit,2,12,0.292,0.134,1116,93,324,141,0.2903225806451613,0.12634408602150538,2.8315412186379927,0.0,6.2038496654287245,8.066132311958011,9.062486720546547,-2420.0,"{'count': 324.0, 'mean': 9.753086419753087, 'std': 8.078608935520135, 'min': 5.0, '25%': 5.0, '50%': 5.0, '75%': 10.0, 'max': 50.0}"
