Game Number,Game Name,Cost,Longest Losing Streak,Optimal Bankroll,Risk Coefficient,Prize Types,Standard Deviations,Cluster Size,Ticket Number in Cluster,Ticket Outcome,Cluster Number,Cluster Net Outcome,Running Total Tally
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,1,-3.0,-3.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,3.0,1,-3.0,-3.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,0.0,1,-6.0,-6.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,1,-9.0,-9.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,1,-12.0,-12.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,0.0,1,-15.0,-15.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,0.0,1,-18.0,-18.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,0.0,1,-21.0,-21.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,3.0,1,-21.0,-21.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,3.0,1,-21.0,-21.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,0.0,1,-24.0,-24.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,12,0.0,1,-27.0,-27.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,2,-3.0,-30.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,0.0,2,-6.0,-33.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,3.0,2,-6.0,-33.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,2,-9.0,-36.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,2,-12.0,-39.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,5.0,2,-10.0,-37.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,0.0,2,-13.0,-40.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,0.0,2,-16.0,-43.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,0.0,2,-19.0,-46.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,0.0,2,-22.0,-49.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,0.0,2,-25.0,-52.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,12,0.0,2,-28.0,-55.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,3,-3.0,-58.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,3.0,3,-3.0,-58.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,0.0,3,-6.0,-61.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,3,-9.0,-64.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,3,-12.0,-67.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,0.0,3,-15.0,-70.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,0.0,3,-18.0,-73.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,0.0,3,-21.0,-76.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,0.0,3,-24.0,-79.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,0.0,3,-27.0,-82.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,0.0,3,-30.0,-85.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,12,0.0,3,-33.0,-88.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,4,-3.0,-91.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,0.0,4,-6.0,-94.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,0.0,4,-9.0,-97.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,4,-12.0,-100.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,4,-15.0,-103.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,0.0,4,-18.0,-106.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,0.0,4,-21.0,-109.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,0.0,4,-24.0,-112.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,3.0,4,-24.0,-112.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,0.0,4,-27.0,-115.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,5.0,4,-25.0,-113.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,12,0.0,4,-28.0,-116.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,5,-3.0,-119.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,0.0,5,-6.0,-122.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,0.0,5,-9.0,-125.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,5,-12.0,-128.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,5,-15.0,-131.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,5.0,5,-13.0,-129.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,5.0,5,-11.0,-127.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,20.0,5,6.0,-110.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,0.0,5,3.0,-113.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,0.0,5,0.0,-116.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,3.0,5,0.0,-116.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,12,0.0,5,-3.0,-119.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,1,0.0,6,-3.0,-122.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,2,0.0,6,-6.0,-125.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,3,3.0,6,-6.0,-125.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,4,0.0,6,-9.0,-128.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,5,0.0,6,-12.0,-131.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,6,0.0,6,-15.0,-134.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,7,3.0,6,-15.0,-134.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,8,0.0,6,-18.0,-137.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,9,0.0,6,-21.0,-140.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,10,0.0,6,-24.0,-143.0
1445,Unlock The Loot,3.0,9,40.5,1.5,profit,2,12,11,5.0,6,-22.0,-141.0
